snippet,print_page,keywords,section_name,abstract,source,blog,news_desk,pub_date,multimedia,word_count,lead_paragraph,type_of_material,web_url,_id,subsection_name,headline,byline,document_type
Admiral <PERSON>Kirk</PERSON> leads crew <ORGANIZATION>U.S.S. Enterprise</ORGANIZATION> find force responsible destruction Federation starships.,null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T06:12:06Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/03/21/movies/video-star-trek-the-motion-picture/video-star-trek-the-motion-picture-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/03/21/movies/video-star-trek-the-motion-picture/video-star-trek-the-motion-picture-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/03/21/movies/video-star-trek-the-motion-picture/video-star-trek-the-motion-picture-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/03/21/movies/video-star-trek-the-motion-picture/video-star-trek-the-motion-picture-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/03/21/movies/video-star-trek-the-motion-picture/video-star-trek-the-motion-picture-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/03/21/movies/video-star-trek-the-motion-picture/video-star-trek-the-motion-picture-thumbStandard.jpg,height:75}]",20,Admiral <PERSON>Kirk</PERSON> leads crew <ORGANIZATION>U.S.S. Enterprise</ORGANIZATION> find force responsible destruction Federation starships.,Video,http://www.nytimes.com/video/movies/100000003377164/star-trek-the-motion-picture.html,54a52ba079881011bed2be1b,null,{"main":"Star Trek: The Motion Picture"},"{original:Paramount Home Entertainment,person:[{firstname:Paramount,role:reported,organization:,middlename:Home,rank:1,lastname:Entertainment}]}",multimedia
"Captain <PERSON>Jean-Luc Picard</PERSON> crew newly commissioned 'Enterprise' battle insidious <PERSON>Borg</PERSON> sweeps galaxy, assimilating path.",null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T06:12:01Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/03/21/movies/video-star-trek-first-contact/video-star-trek-first-contact-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/03/21/movies/video-star-trek-first-contact/video-star-trek-first-contact-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/03/21/movies/video-star-trek-first-contact/video-star-trek-first-contact-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/03/21/movies/video-star-trek-first-contact/video-star-trek-first-contact-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/03/21/movies/video-star-trek-first-contact/video-star-trek-first-contact-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/03/21/movies/video-star-trek-first-contact/video-star-trek-first-contact-thumbStandard.jpg,height:75}]",26,"Captain <PERSON>Jean-Luc Picard</PERSON> crew newly commissioned 'Enterprise' battle insidious <PERSON>Borg</PERSON> sweeps galaxy, assimilating path.",Video,http://www.nytimes.com/video/movies/100000003377155/star-trek-first-contact.html,54a52b9979881011bed2be1a,null,{"main":"Star Trek: First Contact"},"{original:Paramount Home Entertainment,person:[{firstname:Paramount,role:reported,organization:,middlename:Home,rank:1,lastname:Entertainment}]}",multimedia
A long-awaited peace treaty Federation Klingons threatened crew Enterprise framed attack Klingon ship.,null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T06:11:57Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/03/21/movies/video-star-trek-vi-the-undiscovered-country/video-star-trek-vi-the-undiscovered-country-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/03/21/movies/video-star-trek-vi-the-undiscovered-country/video-star-trek-vi-the-undiscovered-country-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/03/21/movies/video-star-trek-vi-the-undiscovered-country/video-star-trek-vi-the-undiscovered-country-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/03/21/movies/video-star-trek-vi-the-undiscovered-country/video-star-trek-vi-the-undiscovered-country-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/03/21/movies/video-star-trek-vi-the-undiscovered-country/video-star-trek-vi-the-undiscovered-country-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/03/21/movies/video-star-trek-vi-the-undiscovered-country/video-star-trek-vi-the-undiscovered-country-thumbStandard.jpg,height:75}]",27,A long-awaited peace treaty Federation Klingons threatened crew Enterprise framed attack Klingon ship.,Video,http://www.nytimes.com/video/movies/100000003377152/star-trek-vi-the-undiscovered-country.html,54a52b8d79881011bed2be19,null,{"main":"Star Trek Vi: The Undiscovered Country"},"{original:Paramount Home Entertainment,person:[{firstname:Paramount,role:reported,organization:,middlename:Home,rank:1,lastname:Entertainment}]}",multimedia
The Enterprise crew drawn renegade <ORGANIZATION>Vulcan</ORGANIZATION>'s obsessive quest learn secrets universe.,null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T06:11:52Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/03/21/movies/video-star-trek-v-the-final-frontier/video-star-trek-v-the-final-frontier-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/03/21/movies/video-star-trek-v-the-final-frontier/video-star-trek-v-the-final-frontier-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/03/21/movies/video-star-trek-v-the-final-frontier/video-star-trek-v-the-final-frontier-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/03/21/movies/video-star-trek-v-the-final-frontier/video-star-trek-v-the-final-frontier-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/03/21/movies/video-star-trek-v-the-final-frontier/video-star-trek-v-the-final-frontier-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/03/21/movies/video-star-trek-v-the-final-frontier/video-star-trek-v-the-final-frontier-thumbStandard.jpg,height:75}]",20,The Enterprise crew drawn renegade <ORGANIZATION>Vulcan</ORGANIZATION>'s obsessive quest learn secrets universe.,Video,http://www.nytimes.com/video/movies/100000003377149/star-trek-v-the-final-frontier.html,54a52b8779881011bed2be18,null,{"main":"Star Trek V: The Final Frontier"},"{original:Paramount Home Entertainment,person:[{firstname:Paramount,role:reported,organization:,middlename:Home,rank:1,lastname:Entertainment}]}",multimedia
"The crew Starship Enterprise travels back time 20th-century <LOCATION>San Francisco</LOCATION>, humpback whales hold key <LOCATION>Earth</LOCATION>'s future survival. Funniest installment series!",null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T06:11:48Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/03/21/movies/video-star-trek-4-the-voyage-home/video-star-trek-4-the-voyage-home-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/03/21/movies/video-star-trek-4-the-voyage-home/video-star-trek-4-the-voyage-home-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/03/21/movies/video-star-trek-4-the-voyage-home/video-star-trek-4-the-voyage-home-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/03/21/movies/video-star-trek-4-the-voyage-home/video-star-trek-4-the-voyage-home-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/03/21/movies/video-star-trek-4-the-voyage-home/video-star-trek-4-the-voyage-home-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/03/21/movies/video-star-trek-4-the-voyage-home/video-star-trek-4-the-voyage-home-thumbStandard.jpg,height:75}]",30,"The crew Starship Enterprise travels back time 20th-century <LOCATION>San Francisco</LOCATION>, humpback whales hold key <LOCATION>Earth</LOCATION>'s future survival. Funniest installment series!",Video,http://www.nytimes.com/video/movies/100000003377146/star-trek-4-the-voyage-home.html,54a52b8279881011bed2be17,null,{"main":"Star Trek 4: The Voyage Home"},"{original:Paramount Home Entertainment,person:[{firstname:Paramount,role:reported,organization:,middlename:Home,rank:1,lastname:Entertainment}]}",multimedia
"Adm. <PERSON>Kirk</PERSON> hijacks Enterprise rescue Mr. <PERSON>Spock</PERSON>, spirit remains alive rapidly degenerating Genesis planet.",null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T06:11:44Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/03/21/movies/video-star-trek-3-the-search-for-spock/video-star-trek-3-the-search-for-spock-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/03/21/movies/video-star-trek-3-the-search-for-spock/video-star-trek-3-the-search-for-spock-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/03/21/movies/video-star-trek-3-the-search-for-spock/video-star-trek-3-the-search-for-spock-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/03/21/movies/video-star-trek-3-the-search-for-spock/video-star-trek-3-the-search-for-spock-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/03/21/movies/video-star-trek-3-the-search-for-spock/video-star-trek-3-the-search-for-spock-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/03/21/movies/video-star-trek-3-the-search-for-spock/video-star-trek-3-the-search-for-spock-thumbStandard.jpg,height:75}]",19,"Adm. <PERSON>Kirk</PERSON> hijacks Enterprise rescue Mr. <PERSON>Spock</PERSON>, spirit remains alive rapidly degenerating Genesis planet.",Video,http://www.nytimes.com/video/movies/100000003377053/star-trek-3-the-search-for-spock.html,54a52b7d79881011bed2be16,null,{"main":"Star Trek 3: The Search For Spock"},"{original:Paramount Home Entertainment,person:[{firstname:Paramount,role:reported,organization:,middlename:Home,rank:1,lastname:Entertainment}]}",multimedia
Governors political spectrum hitting roadblock bids expand Medicaid federal funds: Republican legislators adamantly oppose Obamacare.,null,[],<LOCATION>U.S.</LOCATION>,null,AP,[],None,2015-01-01T03:06:44Z,[],797,Governors political spectrum hitting roadblock bids expand Medicaid federal funds: Republican legislators adamantly oppose Obamacare.,News,http://www.nytimes.com/aponline/2015/01/01/us/politics/ap-us-medicaid-politics.html,54a500ed79881011bed2b473,Politics,"{main:GOP Legislators Thwart Bids Expand Medicaid,print_headline:GOP Legislators Thwart Bids Expand Medicaid}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
Excerpts recent editorials newspapers <LOCATION>United States</LOCATION> abroad:,null,[],<LOCATION>U.S.</LOCATION>,null,AP,[],None,2014-12-31T16:38:27Z,[],2905,Excerpts recent editorials newspapers <LOCATION>United States</LOCATION> abroad:,News,http://www.nytimes.com/aponline/2014/12/31/us/ap-us-editorial-rdp.html,54a46d5379881011bed292c6,null,"{main:Editorial Roundup: Excerpts From Recent Editorials,print_headline:Editorial Roundup: Excerpts From Recent Editorials}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
"The <LOCATION>U.S.</LOCATION> ban exporting domestic crude oil defining energy policy issues <DATE>2014</DATE>, months heavy lobbying concluded <PERSON>Obama</PERSON> administration opening door shipments ultra-light oil.",null,[],Business Day,null,Reuters,[],None,2014-12-31T16:28:06Z,[],886,"The <LOCATION>U.S.</LOCATION> ban exporting domestic crude oil defining energy policy issues <DATE>2014</DATE>, months heavy lobbying concluded <PERSON>Obama</PERSON> administration opening door shipments ultra-light oil.",News,http://www.nytimes.com/reuters/2014/12/31/business/31reuters-usa-crude-exports-timeline.html,54a46b1c79881011bed29241,null,"{main:Push Relax <LOCATION>U.S.<\/LOCATION> Oil Export Ban Ends 2014 With Breakthrough,print_headline:Push Relax <LOCATION>U.S.<\/LOCATION> Oil Export Ban Ends 2014 With Breakthrough}","{original:By REUTERS,person:[],organization:REUTERS}",article
Adm. <PERSON>James T. Kirk</PERSON> assumes command Enterprise finds facing nemesis.,null,[],Movies,null,Internet Video Archive,[],Movies,2014-12-31T14:55:29Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/05/06/movies/video-star-trek-2-the-wrath-of-khan/video-star-trek-2-the-wrath-of-khan-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/05/06/movies/video-star-trek-2-the-wrath-of-khan/video-star-trek-2-the-wrath-of-khan-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/05/06/movies/video-star-trek-2-the-wrath-of-khan/video-star-trek-2-the-wrath-of-khan-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/05/06/movies/video-star-trek-2-the-wrath-of-khan/video-star-trek-2-the-wrath-of-khan-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/05/06/movies/video-star-trek-2-the-wrath-of-khan/video-star-trek-2-the-wrath-of-khan-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/05/06/movies/video-star-trek-2-the-wrath-of-khan/video-star-trek-2-the-wrath-of-khan-thumbStandard.jpg,height:75}]",16,Adm. <PERSON>James T. Kirk</PERSON> assumes command Enterprise finds facing nemesis.,Video,http://www.nytimes.com/video/movies/100000003377044/star-trek-2-the-wrath-of-khan.html,54a454b679881011bed28d21,null,{"main":"Star Trek 2: The Wrath Of Khan"},"{original:Paramount Pictures,person:[{firstname:Paramount,role:reported,organization:,rank:1,lastname:Pictures}]}",multimedia
