snippet,print_page,keywords,section_name,abstract,source,blog,news_desk,pub_date,multimedia,word_count,lead_paragraph,type_of_material,web_url,_id,subsection_name,headline,byline,document_type
He ran chance.,null,[],World,null,AP,[],None,2015-01-01T19:05:25Z,[],2584,He ran chance.,News,http://www.nytimes.com/aponline/2015/01/01/world/asia/ap-as-skorea-slave-islands.html,54a5e1337988102023c94ef7,Asia Pacific,"{main:'A Living Hell' Slaves Remote South Korean Islands,print_headline:'A Living Hell' Slaves Remote South Korean Islands}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
"A consortium led by Spanish-builder <PERSON>Sacyr</PERSON> said on <DATE>Thursday</DATE> it has won a <MONEY>$233 million 149.57 million pounds</MONEY> settlement in a dispute over cost overruns in an expansion of the <LOCATION>Panama Canal</LOCATION>, half what the group had been seeking in the lawsuit.",null,[],Business Day,null,Reuters,[],None,2015-01-01T15:39:04Z,[],189,"A consortium led by Spanish-builder <PERSON>Sacyr</PERSON> said on <DATE>Thursday</DATE> it has won a <MONEY>$233 million 149.57 million pounds</MONEY> settlement in a dispute over cost overruns in an expansion of the <LOCATION>Panama Canal</LOCATION>, half what the group had been seeking in the lawsuit. ",News,http://www.nytimes.com/reuters/2015/01/01/business/01reuters-sacyr-panama.html,54a5b0a37988102023c94a49,null,"{main:Sacyr-Led Group Wins <MONEY>$233 Million<\/MONEY> Claim in <LOCATION>Panama<\/LOCATION> Canal Dispute,print_headline:Sacyr-Led Group Wins <MONEY>$233 Million<\/MONEY> Claim in <LOCATION>Panama<\/LOCATION> Canal Dispute}","{original:By REUTERS,person:[],organization:REUTERS}",article
When <PERSON>Jason Bourne</PERSON> framed botched <ORGANIZATION>CIA</ORGANIZATION> operation forced life trained assassin survive.,null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T14:33:33Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/02/03/movies/video-the-bourne-supremacy/video-the-bourne-supremacy-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/02/03/movies/video-the-bourne-supremacy/video-the-bourne-supremacy-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/02/03/movies/video-the-bourne-supremacy/video-the-bourne-supremacy-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/02/03/movies/video-the-bourne-supremacy/video-the-bourne-supremacy-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/02/03/movies/video-the-bourne-supremacy/video-the-bourne-supremacy-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/02/03/movies/video-the-bourne-supremacy/video-the-bourne-supremacy-thumbStandard.jpg,height:75}]",25,When <PERSON>Jason Bourne</PERSON> framed botched <ORGANIZATION>CIA</ORGANIZATION> operation forced life trained assassin survive.,Video,http://www.nytimes.com/video/movies/100000003383484/the-bourne-supremacy.html,54a5a1147988102023c947d0,null,{"main":"The Bourne Supremacy"},"{original:Universal Pictures,person:[{firstname:Universal,role:reported,organization:,rank:1,lastname:Pictures}]}",multimedia
A struggling young actress finds part time work phone sex operation. But easy money easy. Soundtrack 'Symbol' Prince.,null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T13:11:30Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/02/03/movies/video-girl-6/video-girl-6-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/02/03/movies/video-girl-6/video-girl-6-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/02/03/movies/video-girl-6/video-girl-6-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/02/03/movies/video-girl-6/video-girl-6-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/02/03/movies/video-girl-6/video-girl-6-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/02/03/movies/video-girl-6/video-girl-6-thumbStandard.jpg,height:75}]",31,A struggling young actress finds part time work phone sex operation. But easy money easy. Soundtrack 'Symbol' Prince.,Video,http://www.nytimes.com/video/movies/100000003327538/girl-6.html,54a58df77988102023c941dd,null,{"main":"Girl 6"},"{original:Anchor Bay Entertainment,person:[{firstname:Anchor,role:reported,organization:,middlename:Bay,rank:1,lastname:Entertainment}]}",multimedia
Martial artists enter <LOCATION>Caribbean</LOCATION> tournament learn front team mercenaries chemical warfare operation.,null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T11:55:26Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/02/03/movies/video-american-ninja-3-blood-hunt/video-american-ninja-3-blood-hunt-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/02/03/movies/video-american-ninja-3-blood-hunt/video-american-ninja-3-blood-hunt-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/02/03/movies/video-american-ninja-3-blood-hunt/video-american-ninja-3-blood-hunt-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/02/03/movies/video-american-ninja-3-blood-hunt/video-american-ninja-3-blood-hunt-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/02/03/movies/video-american-ninja-3-blood-hunt/video-american-ninja-3-blood-hunt-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/02/03/movies/video-american-ninja-3-blood-hunt/video-american-ninja-3-blood-hunt-thumbStandard.jpg,height:75}]",22,Martial artists enter <LOCATION>Caribbean</LOCATION> tournament learn front team mercenaries chemical warfare operation.,Video,http://www.nytimes.com/video/movies/100000003286599/american-ninja-3-blood-hunt.html,54a57c3a79881011bed2d01d,null,{"main":"American Ninja 3: Blood Hunt"},"{original:Cannon Home Video,person:[{firstname:Cannon,role:reported,organization:,middlename:Home,rank:1,lastname:Video}]}",multimedia
"Fifty-one years ago, <PERSON>Arthur Lampitt Granite City</PERSON>, <LOCATION>Illinois</LOCATION>, smashed <DATE>1963</DATE> Thunderbird truck. This week surgery suburban <LOCATION>St. Louis</LOCATION>, 7-inch turn signal lever T-Bird removed left arm.",null,[],<LOCATION>U.S.</LOCATION>,null,AP,[],None,2015-01-01T11:44:26Z,[],328,"Fifty-one years ago, <PERSON>Arthur Lampitt Granite City</PERSON>, <LOCATION>Illinois</LOCATION>, smashed <DATE>1963</DATE> Thunderbird truck. This week surgery suburban <LOCATION>St. Louis</LOCATION>, 7-inch turn signal lever T-Bird removed left arm.",News,http://www.nytimes.com/aponline/2015/01/01/us/ap-us-car-part-body.html,54a579e479881011bed2cf9e,null,"{main:51 Years After Wreck, 7-Inch Car Part Found Arm,print_headline:51 Years After Wreck, 7-Inch Car Part Found Arm}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
<LOCATION>Greece Italy</LOCATION> issued widely figures people accounted ferry fire killed 11 people <LOCATION>Adriatic Sea</LOCATION>.,null,[],World,null,AP,[],None,2015-01-01T10:43:50Z,[],431,<LOCATION>Greece Italy</LOCATION> issued widely figures people accounted ferry fire killed 11 people <LOCATION>Adriatic Sea</LOCATION>.,News,http://www.nytimes.com/aponline/2015/01/01/world/europe/ap-eu-italy-ferry-fire.html,54a56bb479881011bed2cc72,<LOCATION>Europe</LOCATION>,"{main:<LOCATION>Greece<\/LOCATION>, <LOCATION>Italy<\/LOCATION> Vary Wildly Ferry Missing Numbers,print_headline:<LOCATION>Greece<\/LOCATION>, <LOCATION>Italy<\/LOCATION> Vary Wildly Ferry Missing Numbers}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
Detective Shaft Africa track slave-trading operation entangled international scheme corruption murder. His pursuit ruthless slave traders non-stop fight save skin.,null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T10:21:37Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/02/06/movies/video-shaft-in-africa/video-shaft-in-africa-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/02/06/movies/video-shaft-in-africa/video-shaft-in-africa-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/02/06/movies/video-shaft-in-africa/video-shaft-in-africa-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/02/06/movies/video-shaft-in-africa/video-shaft-in-africa-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/02/06/movies/video-shaft-in-africa/video-shaft-in-africa-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/02/06/movies/video-shaft-in-africa/video-shaft-in-africa-thumbStandard.jpg,height:75}]",38,Detective Shaft Africa track slave-trading operation entangled international scheme corruption murder. His pursuit ruthless slave traders non-stop fight save skin.,Video,http://www.nytimes.com/video/movies/100000003372997/shaft-in-africa.html,54a5660679881011bed2cb2b,null,{"main":"Shaft In <LOCATION>Africa<\/LOCATION>"},"{original:Warner Home Video,person:[{firstname:Warner,role:reported,organization:,middlename:Home,rank:1,lastname:Video}]}",multimedia
"Ukrainian separatists carried sporadic attacks government forces New Year began, wounding soldiers, <LOCATION>Kiev</LOCATION> military, President <PERSON>Petro Poroshenko</PERSON> told nation  brace year easy.",null,[],World,null,Reuters,[],None,2015-01-01T07:25:20Z,[],401,"Ukrainian separatists carried sporadic attacks government forces New Year began, wounding soldiers, <LOCATION>Kiev</LOCATION> military, President <PERSON>Petro Poroshenko</PERSON> told nation  brace year easy.",News,http://www.nytimes.com/reuters/2015/01/01/world/europe/01reuters-ukraine-crisis-conflict.html,54a53d5379881011bed2c212,<LOCATION>Europe</LOCATION>,"{main:<LOCATION>Ukraine<\/LOCATION> Says Rebels Keep Up Attacks Into New Year,print_headline:<LOCATION>Ukraine<\/LOCATION> Says Rebels Keep Up Attacks Into New Year}","{original:By REUTERS,person:[],organization:REUTERS}",article
Two friends serving <ORGANIZATION>Navy</ORGANIZATION> onset Operation Desert Storm overcome fact desire woman.,null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T06:48:41Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/03/21/movies/video-the-finest-hour/video-the-finest-hour-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/03/21/movies/video-the-finest-hour/video-the-finest-hour-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/03/21/movies/video-the-finest-hour/video-the-finest-hour-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/03/21/movies/video-the-finest-hour/video-the-finest-hour-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/03/21/movies/video-the-finest-hour/video-the-finest-hour-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/03/21/movies/video-the-finest-hour/video-the-finest-hour-thumbStandard.jpg,height:75}]",24,Two friends serving <ORGANIZATION>Navy</ORGANIZATION> onset Operation Desert Storm overcome fact desire woman.,Video,http://www.nytimes.com/video/movies/100000003387224/the-finest-hour.html,54a5341c79881011bed2c005,null,{"main":"The Finest Hour"},"{original:Sony Pictures Home Entertainment,person:[{firstname:Sony,role:reported,organization:,middlename:Pictures,rank:1,lastname:Home}]}",multimedia
