snippet,print_page,keywords,section_name,abstract,source,blog,news_desk,pub_date,multimedia,word_count,lead_paragraph,type_of_material,web_url,_id,subsection_name,headline,byline,document_type
<PERSON>Arsene Wenger</PERSON> played incident led arrest <LOCATION>Southampton</LOCATION> fan Arsenal side 2-0 south coast <DATE>Thursday</DATE>.,null,[],Sports,null,Reuters,[],None,2015-01-01T17:16:21Z,[],211,<PERSON>Arsene Wenger</PERSON> played incident led arrest <LOCATION>Southampton</LOCATION> fan Arsenal side 2-0 south coast <DATE>Thursday</DATE>.,News,http://www.nytimes.com/reuters/2015/01/01/sports/soccer/01reuters-soccer-england-arsenal.html,54a5c7d27988102023c94c5b,Soccer,"{main:Fan Arrested Going Into <PERSON>Wenger<\/PERSON>'s Dugout,print_headline:Fan Arrested Going Into <PERSON>Wenger<\/PERSON>'s Dugout}","{original:By REUTERS,person:[],organization:REUTERS}",article
"Orson Welles' masterwork dazzles anew superb 70th-anniversary digital transfer. It's grand entertainment, sharply acted starting Welles' Mercury Players road thriving film careers directed inspired visual flair. Chr",null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T13:58:43Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/02/03/movies/video-citizen-kane/video-citizen-kane-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/02/03/movies/video-citizen-kane/video-citizen-kane-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/02/03/movies/video-citizen-kane/video-citizen-kane-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/02/03/movies/video-citizen-kane/video-citizen-kane-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/02/03/movies/video-citizen-kane/video-citizen-kane-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/02/03/movies/video-citizen-kane/video-citizen-kane-thumbStandard.jpg,height:75}]",36,"Orson Welles' masterwork dazzles anew superb 70th-anniversary digital transfer. It's grand entertainment, sharply acted starting Welles' Mercury Players road thriving film careers directed inspired visual flair. Chr",Video,http://www.nytimes.com/video/movies/100000003311413/citizen-kane.html,54a598e67988102023c94550,null,{"main":"Citizen Kane"},"{original:Warner Home Video,person:[{firstname:Warner,role:reported,organization:,middlename:Home,rank:1,lastname:Video}]}",multimedia
"<LOCATION>Israel</LOCATION>'s finance minister <DATE>Thursday</DATE> government's rush allot <MONEY>tens millions dollars</MONEY> <LOCATION>West Bank</LOCATION> settlements month amounted corruption, sought link secretive spending spree growing wave scandals...",null,[],World,null,AP,[],None,2015-01-01T11:52:11Z,[],344,"<LOCATION>Israel</LOCATION>'s finance minister <DATE>Thursday</DATE> government's rush allot <MONEY>tens millions dollars</MONEY> <LOCATION>West Bank</LOCATION> settlements month amounted corruption, sought link secretive spending spree growing wave scandals ahead <DATE>March</DATE> elections.",News,http://www.nytimes.com/aponline/2015/01/01/world/middleeast/ap-ml-israel-palestinians.html,54a57c3979881011bed2d016,Middle East,"{main:<LOCATION>Israel<\/LOCATION> Ex-Minister: Settlement Funding Is Corrupt,print_headline:<LOCATION>Israel<\/LOCATION> Ex-Minister: Settlement Funding Is Corrupt}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
Factbox Asian Cup qualifiers <LOCATION>South Korea</LOCATION>.,null,[],Sports,null,Reuters,[],None,2015-01-01T03:17:02Z,[],311,Factbox Asian Cup qualifiers <LOCATION>South Korea</LOCATION>.,News,http://www.nytimes.com/reuters/2015/01/01/sports/soccer/01reuters-soccer-asia-southkorea-profile.html,54a502fc79881011bed2b4ee,Soccer,"{main:Profile <LOCATION>South Korea<\/LOCATION> Team 2015 Asian Cup,print_headline:Profile <LOCATION>South Korea<\/LOCATION> Team 2015 Asian Cup}","{original:By REUTERS,person:[],organization:REUTERS}",article
An elite rescue team make daring air-to-air transfer order save 400 people onboard 747...and lives 40 million people.,null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T03:11:03Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/03/21/movies/video-executive-decision/video-executive-decision-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/03/21/movies/video-executive-decision/video-executive-decision-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/03/21/movies/video-executive-decision/video-executive-decision-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/03/21/movies/video-executive-decision/video-executive-decision-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/03/21/movies/video-executive-decision/video-executive-decision-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/03/21/movies/video-executive-decision/video-executive-decision-thumbStandard.jpg,height:75}]",27,An elite rescue team make daring air-to-air transfer order save 400 people onboard 747...and lives 40 million people.,Video,http://www.nytimes.com/video/movies/100000003321862/executive-decision.html,54a5011a79881011bed2b47d,null,{"main":"Executive Decision"},"{original:Warner Home Video,person:[{firstname:Warner,role:reported,organization:,middlename:Home,rank:1,lastname:Video}]}",multimedia
Brothers Australian Al-Jazeera English journalist held <LOCATION>Egypt</LOCATION> year <DATE>Friday</DATE> lawyers focusing deportation President <PERSON>Abdel-Fattah el-Sissi</PERSON>'s command option.,null,[],World,null,AP,[],None,2015-01-01T01:04:21Z,[],526,Brothers Australian Al-Jazeera English journalist held <LOCATION>Egypt</LOCATION> year <DATE>Friday</DATE> lawyers focusing deportation President <PERSON>Abdel-Fattah el-Sissi</PERSON>'s command option.,News,http://www.nytimes.com/aponline/2015/01/01/world/middleeast/ap-ml-egypt-al-jazeera.html,54a4e43679881011bed2adea,Middle East,"{main:Australian's Family Hope <LOCATION>Egypt<\/LOCATION> Will Deport Him,print_headline:Australian's Family Hope <LOCATION>Egypt<\/LOCATION> Will Deport Him}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
The <LOCATION>United States</LOCATION> extolled leading opium dealer&#8217;s imprisonment sign Afghan authorities establish law order. Then man paid millions escape.,4,"[{is_major:Y,name:glocations,rank:1,value:Afghanistan},{is_major:N,name:persons,rank:11,value:Karzai, Ahmed Wali},{is_major:N,name:persons,rank:12,value:<PERSON>Ghani<\/PERSON>, Ashraf},{is_major:Y,name:subject,rank:2,value:Drug Abuse Traffic},{is_major:Y,name:subject,rank:4,value:Bribery Kickbacks},{is_major:N,name:subject,rank:5,value:Corruption Institutional},{is_major:Y,name:subject,rank:6,value:Prisons Prisoners},{is_major:N,name:glocations,rank:7,value:Kandahar Afghanistan},{is_major:N,name:subject,rank:8,value:Opium},{is_major:N,name:organizations,rank:9,value:Taliban},{is_major:N,name:persons,rank:10,value:Karzai, Hamid}]",World,"Afghan drug kingpin <PERSON>Haji Lal Jan Ishaqzai</PERSON>, incarceration evidence country's willingness tackle opium trafficking, released prison bribing wide array people criminal justice system; transactions common widely acknowledged <LOCATION>Afghanistan</LOCATION>.",The New York Times,[],Foreign,2015-01-01T00:00:00Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/12/31/world/31escape/31escape-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/12/31/world/31escape/31escape-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/12/31/world/31escape/31escape-articleLarge.jpg,xlargewidth:600,xlargeheight:400},subtype:xlarge,width:600,type:image,url:images/2014/12/31/world/31escape/31escape-articleLarge.jpg,height:400},{legacy:{thumbnail:images/2014/12/31/world/31escape/31escape-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/12/31/world/31escape/31escape-thumbStandard.jpg,height:75}]",1110,The <LOCATION>United States</LOCATION> extolled leading opium dealer&#8217;s imprisonment sign Afghan authorities establish law order. Then man paid millions escape.,News,http://www.nytimes.com/2015/01/01/world/asia/bribes-free-drug-kingpin-in-afghanistan-where-cash-often-overrules-justice.html,54a40cbc7988102761d6e0b5,Asia Pacific,"{main:Bribery Frees Drug <LOCATION>Kingpin Afghanistan<\/LOCATION>, Where Cash Often Overrules Justice,print_headline:Bribery Frees Drug <LOCATION>Kingpin Afghanistan<\/LOCATION>, Where Cash Often Overrules Justice}","{contributor:,original:By <PERSON>JOSEPH GOLDSTEIN<\/PERSON>,person:[{firstname:Joseph,role:reported,organization:,rank:1,lastname:GOLDSTEIN}]}",article
"After <PERSON>Braxton Miller</PERSON> injured season, quarterbacks stepped lead <ORGANIZATION>Ohio State</ORGANIZATION>. All back season, make things interesting Coach Urban <PERSON>Meyer</PERSON>.",8,"[{is_major:Y,name:subject,rank:1,value:Football College},{is_major:Y,name:persons,rank:2,value:<PERSON>Meyer<\/PERSON>, Urban},{is_major:Y,name:persons,rank:3,value:<PERSON>Miller<\/PERSON>, <PERSON>Braxton<\/PERSON>},{is_major:Y,name:persons,rank:4,value:<PERSON>Barrett<\/PERSON>, J T},{is_major:Y,name:persons,rank:5,value:Jones, Cardale},{is_major:N,name:persons,rank:6,value:Burrow, Joe <DATE>1996<\/DATE>-},{is_major:Y,name:organizations,rank:7,value:<ORGANIZATION>Ohio State University<\/ORGANIZATION>}]",Sports,"<ORGANIZATION>Ohio State University</ORGANIZATION> quarterbacks <PERSON>Braxton Miller</PERSON>, J T <PERSON>Barrett Cardale Jones</PERSON> performed year considered coach Urban <PERSON>Meyer</PERSON> starting position.",The New York Times,[],Sports,2015-01-01T00:00:00Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2015/01/01/sports/01JONES1/01JONES1-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2015/01/01/sports/01JONES1/01JONES1-thumbWide.jpg,height:126},{legacy:{xlarge:images/2015/01/01/sports/01JONES1/01JONES1-articleLarge.jpg,xlargewidth:600,xlargeheight:400},subtype:xlarge,width:600,type:image,url:images/2015/01/01/sports/01JONES1/01JONES1-articleLarge.jpg,height:400},{legacy:{thumbnail:images/2015/01/01/sports/01JONES1/01JONES1-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2015/01/01/sports/01JONES1/01JONES1-thumbStandard.jpg,height:75}]",2401,"After <PERSON>Braxton Miller</PERSON> injured season, quarterbacks stepped lead <ORGANIZATION>Ohio State</ORGANIZATION>. All back season, make things interesting Coach Urban <PERSON>Meyer</PERSON>.",News,http://www.nytimes.com/2015/01/01/sports/ncaafootball/for-ohio-state-an-abundance-of-riches-and-intrigue-at-quarterback-.html,54a395f77988102761d6d315,College Football,"{main:At <ORGANIZATION>Ohio State<\/ORGANIZATION>, Overabundance Lines Up Under Center,print_headline:Overabundance Under Center}","{contributor:<PERSON>Elisa Cho<\/PERSON> contributed research.,original:By <PERSON>TIM ROHAN<\/PERSON>,person:[{firstname:Tim,role:reported,organization:,rank:1,lastname:ROHAN}]}",article
Naz Long made 3-pointers scored season-high 24 points No. 9 <ORGANIZATION>Iowa State</ORGANIZATION> cruised past <ORGANIZATION>Mississippi Valley State</ORGANIZATION> 83-33 <DATE>Wednesday</DATE> <TIME>night</TIME>.,null,[],Sports,null,AP,[],None,2014-12-31T21:07:31Z,[],379,Naz Long made 3-pointers scored season-high 24 points No. 9 <ORGANIZATION>Iowa State</ORGANIZATION> cruised past <ORGANIZATION>Mississippi Valley State</ORGANIZATION> 83-33 <DATE>Wednesday</DATE> <TIME>night</TIME>.,News,http://www.nytimes.com/aponline/2014/12/31/sports/ncaabasketball/ap-bkc-t25-mvsu-iowa-st.html,54a4ac8c79881011bed2a13e,College Basketball,"{main:No. 9 <LOCATION>Iowa<\/LOCATION> St Routs <LOCATION>Mississippi Valley<\/LOCATION> St 83-33,print_headline:No. 9 <LOCATION>Iowa<\/LOCATION> St Routs <LOCATION>Mississippi Valley<\/LOCATION> St 83-33}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
"<LOCATION>Cincinnati</LOCATION> struck a deal with labor unions late on <DATE>Tuesday</DATE> to reform the city's troubled <MONEY>$2.4 billion</MONEY> pension system and eliminate an <MONEY>$862 million</MONEY> funding gap over the next 30 years, city officials said in a statement.",null,[],Business Day,null,Reuters,[],None,2014-12-31T16:36:06Z,[],367,"<LOCATION>Cincinnati</LOCATION> struck a deal with labor unions late on <DATE>Tuesday</DATE> to reform the city's troubled <MONEY>$2.4 billion</MONEY> pension system and eliminate an <MONEY>$862 million</MONEY> funding gap over the next 30 years, city officials said in a statement.",News,http://www.nytimes.com/reuters/2014/12/31/business/31reuters-usa-municipals-cincinnati.html,54a46c8679881011bed29296,null,"{main:<LOCATION>Cincinnati<\/LOCATION> Reaches Deal Pension Reform,print_headline:<LOCATION>Cincinnati<\/LOCATION> Reaches Deal Pension Reform}","{original:By REUTERS,person:[],organization:REUTERS}",article
