snippet,print_page,keywords,section_name,abstract,source,blog,news_desk,pub_date,multimedia,word_count,lead_paragraph,type_of_material,web_url,_id,subsection_name,headline,byline,document_type
"Corrections appearing print <DATE>Thursday</DATE>, <DATE>January 1, 2015</DATE>.",2,[],Corrections,null,The New York Times,[],Summary,2015-01-01T00:00:00Z,[],542,"Corrections appearing print <DATE>Thursday</DATE>, <DATE>January 1, 2015</DATE>.",News,http://www.nytimes.com/2015/01/01/pageoneplus/corrections-january-1-2015.html,54a4e89b79881011bed2aef3,null,"{main:Corrections: <DATE>January 1, 2015<\/DATE>,print_headline:Corrections}",[],article
"<LOCATION>U.S.</LOCATION> stocks fell <DATE>Wednesday</DATE> crude oil prices continued descent, <ORGANIZATION>S&amp;P</ORGANIZATION> closed straight year double-digit gains.",null,[],Business Day,null,Reuters,[],None,2014-12-31T07:37:22Z,[],560,"<LOCATION>U.S.</LOCATION> stocks fell <DATE>Wednesday</DATE> crude oil prices continued descent, <ORGANIZATION>S&amp;P</ORGANIZATION> closed straight year double-digit gains.",News,http://www.nytimes.com/reuters/2014/12/31/business/31reuters-markets-stocks-usa.html,54a3eea47988102761d6dd4a,null,"{main:Wall St. Lower Finishes Year With Solid Gains,print_headline:Wall St. Lower Finishes Year With Solid Gains}","{original:By REUTERS,person:[],organization:REUTERS}",article
<LOCATION>China United States</LOCATION> headed list 2014 top-performing equity markets larger economies crude oil prices closed red cap massive yearly slump.,null,[],Business Day,null,Reuters,[],None,2014-12-31T01:19:21Z,[],702,<LOCATION>China United States</LOCATION> headed list 2014 top-performing equity markets larger economies crude oil prices closed red cap massive yearly slump.,News,http://www.nytimes.com/reuters/2014/12/31/business/31reuters-markets-global.html,54a396077988102761d6d318,null,"{main:Chinese Stocks Dollar Were Stars, Oil Big Loser 2014,print_headline:Chinese Stocks Dollar Were Stars, Oil Big Loser 2014}","{original:By REUTERS,person:[],organization:REUTERS}",article
"Corrections appearing print <DATE>Wednesday</DATE>, <DATE>December 31, 2014</DATE>.",2,[],Corrections,null,The New York Times,[],Summary,2014-12-31T00:00:00Z,[],566,"Corrections appearing print <DATE>Wednesday</DATE>, <DATE>December 31, 2014</DATE>.",News,http://www.nytimes.com/2014/12/31/pageoneplus/corrections-december-31-2014.html,54a394967988102761d6d2ea,null,"{main:Corrections: <DATE>December 31, 2014<\/DATE>,print_headline:Corrections}",[],article
"Corrections appearing print <DATE>Tuesday</DATE>, <DATE>December 30, 2014</DATE>.",,[],Corrections,null,The New York Times,[],Summary,2014-12-30T00:00:00Z,[],619,"Corrections appearing print <DATE>Tuesday</DATE>, <DATE>December 30, 2014</DATE>.",Correction,http://www.nytimes.com/2014/12/30/pageoneplus/corrections-december-30-2014.html,54a252867988104803cc89dc,null,"{main:Corrections: <DATE>December 30, 2014<\/DATE>,print_headline:Corrections}",[],article
How tourism flourish causing harm possible??,null,"[{name:type_of_material,rank:1,value:News}]",Opinion,How tourism flourish causing harm possible??,The New York Times,[],null,2014-12-29T17:24:13Z,[],2151,,Blog,http://www.nytimes.com/roomfordebate/2014/12/29/how-tourists-can-do-less-harm-than-good,54a212567988104803cc8935,Room For Debate,"{main:Smaller Footprints World's Welcome Mats,kicker:Room For Debate}",null,blogpost
"Corrections appearing print <DATE>Monday</DATE>, <DATE>December 29, 2014</DATE>.",2,[],Corrections,null,The New York Times,[],Summary,2014-12-29T00:00:00Z,[],238,"Corrections appearing print <DATE>Monday</DATE>, <DATE>December 29, 2014</DATE>.",News,http://www.nytimes.com/2014/12/29/pageoneplus/corrections-december-29-2014.html,54a0f8957988101f98e3ef11,null,"{main:Corrections: <DATE>December 29, 2014<\/DATE>,print_headline:Corrections}",[],article
"<LOCATION>New York City</LOCATION>'s massive <LOCATION>Rikers Island</LOCATION> jail complex increased scrutiny past year series reports <ORGANIZATION>The Associated Press</ORGANIZATION> gruesome inmate deaths, guard brutality mismanagement. Investigations media...",null,[],<LOCATION>U.S.</LOCATION>,null,AP,[],None,2014-12-28T11:02:44Z,[],796,"<LOCATION>New York City</LOCATION>'s massive <LOCATION>Rikers Island</LOCATION> jail complex increased scrutiny past year series reports <ORGANIZATION>The Associated Press</ORGANIZATION> gruesome inmate deaths, guard brutality mismanagement. Investigations media city, state federal authorities prompted disclosures, Mayor Bill de Blasio vowed reforms.",News,http://www.nytimes.com/aponline/2014/12/28/us/ap-us-reforming-rikers-timeline.html,54a02a7479881001534d20be,null,"{main:Key Events Year Scrutiny <LOCATION>Rikers Island<\/LOCATION>,print_headline:Key Events Year Scrutiny Rikers Island}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
"<PERSON>Victor Woods</PERSON> shook uncontrollably, body wracked convulsions, fellow inmates held arms shouted.",null,[],<LOCATION>U.S.</LOCATION>,null,AP,[],None,2014-12-28T11:01:40Z,[],1262,"<PERSON>Victor Woods</PERSON> shook uncontrollably, body wracked convulsions, fellow inmates held arms shouted.",News,http://www.nytimes.com/aponline/2014/12/28/us/ap-us-reforming-rikers-abridged-.html,54a029bd79881001534d20bd,null,"{main:Widespread Problems Rikers Island Tough Fix,print_headline:Widespread Problems Rikers Island Tough Fix}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
"Corrections appearing print <DATE>Sunday</DATE>, <DATE>December 28, 2014</DATE>.",3,[],Corrections,null,The New York Times,[],Summary,2014-12-28T00:00:00Z,[],842,"Corrections appearing print <DATE>Sunday</DATE>, <DATE>December 28, 2014</DATE>.",News,http://www.nytimes.com/2014/12/28/pageoneplus/corrections-december-28-2014.html,549faa6979881001534d2053,null,"{main:Corrections: <DATE>December 28, 2014<\/DATE>,print_headline:Corrections}",[],article
