snippet,print_page,keywords,section_name,abstract,source,blog,news_desk,pub_date,multimedia,word_count,lead_paragraph,type_of_material,web_url,_id,subsection_name,headline,byline,document_type
More dozen giant turbines erected remote mesa western <LOCATION>New Mexico</LOCATION> began churning power state's largest electric provider New Year's Day.,null,[],<LOCATION>U.S.</LOCATION>,null,AP,[],None,2015-01-01T11:15:33Z,[],569,More dozen giant turbines erected remote mesa western <LOCATION>New Mexico</LOCATION> began churning power state's largest electric provider New Year's Day.,News,http://www.nytimes.com/aponline/2015/01/01/us/ap-us-renewable-energy-standards.html,54a573e079881011bed2ce31,null,"{main:States Work Meet New Renewable Energy Standards,print_headline:States Work Meet New Renewable Energy Standards}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
Excerpts recent editorials newspapers <LOCATION>United States</LOCATION> abroad:,null,[],<LOCATION>U.S.</LOCATION>,null,AP,[],None,2014-12-31T16:38:27Z,[],2905,Excerpts recent editorials newspapers <LOCATION>United States</LOCATION> abroad:,News,http://www.nytimes.com/aponline/2014/12/31/us/ap-us-editorial-rdp.html,54a46d5379881011bed292c6,null,"{main:Editorial Roundup: Excerpts From Recent Editorials,print_headline:Editorial Roundup: Excerpts From Recent Editorials}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
"Recommendations for the new year, including a vow to drink rosé in winter, seafood delivered to your door and more.",3,"[{is_major:Y,name:subject,rank:1,value:Cooking Cookbooks},{is_major:Y,name:subject,rank:2,value:Alcoholic Beverages},{is_major:N,name:subject,rank:3,value:Food},{is_major:N,name:subject,rank:4,value:Coffee},{is_major:N,name:subject,rank:5,value:Seafood},{is_major:N,name:persons,rank:6,value:<LOCATION>Kennedy<\/LOCATION>, Diana},{is_major:N,name:organizations,rank:7,value:Gracious Home}]",Food,"Florence Fabricant Front Burner column offers suggestions culinary New Year's resolutions, including vow drink rose winter.",The New York Times,[],Dining,2014-12-31T00:00:00Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/12/31/dining/31BURNER5/31BURNER5-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/12/31/dining/31BURNER5/31BURNER5-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/12/31/dining/31BURNER5/31BURNER5-articleLarge.jpg,xlargewidth:600,xlargeheight:400},subtype:xlarge,width:600,type:image,url:images/2014/12/31/dining/31BURNER5/31BURNER5-articleLarge.jpg,height:400},{legacy:{thumbnail:images/2014/12/31/dining/31BURNER5/31BURNER5-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/12/31/dining/31BURNER5/31BURNER5-thumbStandard.jpg,height:75}]",592,"Recommendations for the new year, including a vow to drink rosé in winter, seafood delivered to your door and more.",News,http://www.nytimes.com/2014/12/31/dining/learning-mexican-cooking-from-diana-kennedy.html,54a199497988104803cc8832,null,"{content_kicker:Front Burner,main:Learning Mexican Cooking From <PERSON>Diana Kennedy<\/PERSON>}","{contributor:,original:By FLORENCE FABRICANT,person:[{firstname:<LOCATION>Florence<\/LOCATION>,role:reported,organization:,rank:1,lastname:FABRICANT}]}",article
"<LOCATION>Italy</LOCATION>'s <ORGANIZATION>Benetton</ORGANIZATION> family ready halve <PERCENT>50 percent</PERCENT> stake World Duty Free make travel retailer attractive potential partner industry, sources close matter.",null,[],Business Day,null,Reuters,[],None,2014-12-30T09:45:05Z,[],522,"<LOCATION>Italy</LOCATION>'s <ORGANIZATION>Benetton</ORGANIZATION> family ready halve <PERCENT>50 percent</PERCENT> stake World Duty Free make travel retailer attractive potential partner industry, sources close matter.",News,http://www.nytimes.com/reuters/2014/12/30/business/30reuters-world-duty-free-m-a-benetton.html,54a2baaf7988104803cc8aa9,null,"{main:Benettons Ready Halve World Duty Free Stake Lure Partner-Sources,print_headline:Benettons Ready Halve World Duty Free Stake Lure Partner-Sources}","{original:By REUTERS,person:[],organization:REUTERS}",article
"<PERSON>Yuri Milner</PERSON>, billionaire Russian holds largest stake Chinese handset maker <ORGANIZATION>Xiaomi</ORGANIZATION>, expects invest evenly <LOCATION>United States China</LOCATION> 2015.",null,[],Business Day,null,Reuters,[],None,2014-12-29T17:29:02Z,[],403,"<PERSON>Yuri Milner</PERSON>, billionaire Russian holds largest stake Chinese handset maker <ORGANIZATION>Xiaomi</ORGANIZATION>, expects invest evenly <LOCATION>United States China</LOCATION> 2015.",News,http://www.nytimes.com/reuters/2014/12/29/business/29reuters-fund-dst-milner.html,54a1d5ed7988104803cc88af,null,"{main:<PERSON>Yuri Milner<\/PERSON>'s <ORGANIZATION>DST<\/ORGANIZATION> Global Plans Invest More <LOCATION>U.S.<\/LOCATION> Start-Ups,print_headline:<PERSON>Yuri Milner<\/PERSON>'s <ORGANIZATION>DST<\/ORGANIZATION> Global Plans Invest More <LOCATION>U.S.<\/LOCATION> Start-Ups}","{original:By REUTERS,person:[],organization:REUTERS}",article
"At RV Park owns remote corner southwestern <LOCATION>Kansas</LOCATION>, <PERSON>Jan Leonard</PERSON> benefits federal government's contentious programs.",null,[],<LOCATION>U.S.</LOCATION>,null,AP,[],None,2014-12-29T10:39:34Z,[],826,"At RV Park owns remote corner southwestern <LOCATION>Kansas</LOCATION>, <PERSON>Jan Leonard</PERSON> benefits federal government's contentious programs.",News,http://www.nytimes.com/aponline/2014/12/29/us/politics/ap-us-beyond-solyndra.html,54a1765d7988101f98e3efe1,Politics,"{main:Program That Backed Solyndra Now Showing Successes,print_headline:Program That Backed Solyndra Now Showing Successes}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
"A new round of financing raised <MONEY>$1.1 billion</MONEY> for the company, which has become one of the world’s biggest smartphone makers by offering cheap, high-quality phones through clever online marketing campaigns.",null,"[{name:persons,rank:1,value:Lei Jun},{name:organizations,rank:1,value:Xiaomi Tech},{name:subject,rank:1,value:Smartphones},{name:subject,rank:2,value:Venture Capital}]",Business Day,"A new round of financing raised <MONEY>$1.1 billion</MONEY> for the company, which has become one of the world’s biggest smartphone makers by offering cheap, high-quality phones through clever online marketing campaigns.",The New York Times,[],Business,2014-12-29T10:27:29Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/12/29/business/dealbook/dbpix-xiaomi/dbpix-xiaomi-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/12/29/business/dealbook/dbpix-xiaomi/dbpix-xiaomi-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/12/29/business/dealbook/dbpix-xiaomi/dbpix-xiaomi-articleLarge.jpg,xlargewidth:600,xlargeheight:400},subtype:xlarge,width:600,type:image,url:images/2014/12/29/business/dealbook/dbpix-xiaomi/dbpix-xiaomi-articleLarge.jpg,height:400},{legacy:{thumbnail:images/2014/12/29/business/dealbook/dbpix-xiaomi/dbpix-xiaomi-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/12/29/business/dealbook/dbpix-xiaomi/dbpix-xiaomi-thumbStandard.jpg,height:75}]",508,null,Blog,http://dealbook.nytimes.com/2014/12/29/xiaomi-chinese-phone-maker-valued-at-45-billion/,54a1733f7988101f98e3efd3,Dealbook,"{main:Xiaomi, Chinese Phone Maker Favored by <ORGANIZATION>Young<\/ORGANIZATION>, Valued at <MONEY>$45 Billion<\/MONEY> ,print_headline:Xiaomi, Chinese Phone Maker Favored by <ORGANIZATION>Young<\/ORGANIZATION>, Is Valued at <MONEY>$45 Billion<\/MONEY>,kicker:DealBook}","{original:By <PERSON>NEIL GOUGH<\/PERSON>,person:[{firstname:Neil,role:reported,organization:,rank:1,lastname:GOUGH}]}",blogpost
"<LOCATION>Canada</LOCATION>'s <ORGANIZATION>Ontario Teachers' Pension Plan</ORGANIZATION> said it had bought a <PERCENT>19.25 percent</PERCENT> stake in <LOCATION>Birmingham Airport</LOCATION> [BIRHLF.UL] from <LOCATION>Australia</LOCATION>'s <ORGANIZATION>Victorian Funds Management Corporation</ORGANIZATION>, taking its investment in the British airport to <PERCENT>48.25 percent</PERCENT>.",null,[],Business Day,null,Reuters,[],None,2014-12-29T03:31:21Z,[],333,"<LOCATION>Canada</LOCATION>'s <ORGANIZATION>Ontario Teachers' Pension Plan</ORGANIZATION> said it had bought a <PERCENT>19.25 percent</PERCENT> stake in <LOCATION>Birmingham Airport</LOCATION> [BIRHLF.UL] from <LOCATION>Australia</LOCATION>'s <ORGANIZATION>Victorian Funds Management Corporation</ORGANIZATION>, taking its investment in the British airport to <PERCENT>48.25 percent</PERCENT>.",News,http://www.nytimes.com/reuters/2014/12/29/business/29reuters-birmingham-airport-m-a-ontario-teachers.html,54a111bf7988101f98e3ef24,null,"{main:Ontario Teachers Raises Stake <LOCATION>Birmingham Airport<\/LOCATION>,print_headline:Ontario Teachers Raises Stake <LOCATION>Birmingham Airport<\/LOCATION>}","{original:By REUTERS,person:[],organization:REUTERS}",article
"CURTIS--<PERSON>Charles Buckley</PERSON>, family originally settled <LOCATION>Stratford</LOCATION>, CT <DATE>1734</DATE>, passed <DATE>December 21</DATE>, <LOCATION>2014 Peterborough</LOCATION>, NH. Born <DATE>October 14, 1929</DATE>, child <PERSON>Isobel Ramsay Buckley John Talbot Curtis</PERSON>. Chas grew...",28,"[{name:persons,value:CURTIS, <PERSON>CHARLES BUCKLEY<\/PERSON>}]",Paid Death Notices,null,The New York Times,[],Classified,2014-12-28T00:00:00Z,[],325,"CURTIS--<PERSON>Charles Buckley</PERSON>, whose family originally settled <LOCATION>Stratford</LOCATION>, CT in <DATE>1734</DATE>, passed away on <DATE>December 21, 2014</DATE> in <LOCATION>Peterborough</LOCATION>, NH. Born <DATE>October 14, 1929</DATE>, he was the first child of <PERSON>Isobel Ramsay Buckley</PERSON> and <PERSON>John Talbot Curtis</PERSON>. Chas grew up in <LOCATION>Southport</LOCATION>, CT and graduated from <LOCATION>Deerfield</LOCATION> in <DATE>1947</DATE> and <ORGANIZATION>Yale</ORGANIZATION> in <DATE>1951</DATE>. He rose to Executive Officer and Navigator in the <LOCATION>United States Navy</LOCATION>, following a long line of military and naval service stretching back to <PERSON>Silas Talbot</PERSON>, Captain of the <ORGANIZATION>U.S.S. Constitution</ORGANIZATION>. Early in his career he joined Pepperidge Farm and became <ORGANIZATION>General Plant Manager</ORGANIZATION> in <LOCATION>Norwalk</LOCATION>, <LOCATION>CT</LOCATION>. Chas then joined <ORGANIZATION>White</ORGANIZATION>, <ORGANIZATION>Weld & Co.</ORGANIZATION> to pursue a long-held interest in stock picking and portfolio management. He ultimately retired at 72 as Senior Vice President of <ORGANIZATION>UBS</ORGANIZATION>, having retained many of his original clients. Making turns into his eighties, <PERSON>Chas</PERSON> had a lifelong interest in skiing, first courting his wife of fifty-seven years, <PERSON>Ellen Martin Whitaker</PERSON>, at <LOCATION>Mad River Glen</LOCATION>. They later introduced their three boys to the <ORGANIZATION>Alta Bounce</ORGANIZATION>. When not skiing, playing the drums, or listening to <PERSON>Louis Armstrong</PERSON>, he was a passionate and studious golfer at <ORGANIZATION>The Country Club</ORGANIZATION> of <LOCATION>Fairfield</LOCATION>, where he became President as his father had been. Chas also dedicated himself to <ORGANIZATION>Fairfield Country Day School</ORGANIZATION> as a long serving Trustee. Never happier than when out in the garden weeding, clipping, planting or supervising, he cherished his land at Mountain Meadow Farm in <LOCATION>Weston</LOCATION>, <LOCATION>VT</LOCATION>. Starting in <DATE>1964</DATE> with 20 acres and finishing with 192 acres, his careful and exacting stewardship of the trails, meadows, stonewalls, barn, milk house, sugar shack, and house may be his proudest legacy. He is survived by his wife, his sisters, <PERSON>Clare Rimmer</PERSON> of <LOCATION>Kennebunkport</LOCATION>, ME and <LOCATION>Exeter</LOCATION>, <ORGANIZATION>NH</ORGANIZATION>, <PERSON>Mollie Fair</PERSON> of <LOCATION>Charleston</LOCATION>, SC, and sons, <PERSON>John Talbot Curtis II</PERSON> of <LOCATION>London England</LOCATION>, <PERSON>Timothy Whitaker Curtis</PERSON> of <LOCATION>Fairfield</LOCATION>, CT, and <PERSON>Charles Buckley Curtis Jr.</PERSON> of <LOCATION>Waitsfield</LOCATION>, VT, along with seven skiing grandchildren. 1/3",Paid Death Notice,http://query.nytimes.com/gst/fullpage.html?res=9F06E6D91F3AF93BA15751C1A9629D8B63,54aa0c9f79881040cba0f496,null,"{main:Paid Notice: Deaths  CURTIS, <PERSON>CHARLES BUCKLEY<\/PERSON>}",null,article
It’s a rare shift in a long-opaque industry: A firm is letting investors hire an outside monitor to review a fund’s books and practices.,1,"[{is_major:N,name:subject,rank:1,value:Private Equity},{is_major:N,name:organizations,rank:2,value:<PERSON>Freeman Spogli<\/PERSON> & Co},{is_major:N,name:subject,rank:3,value:Regulation Deregulation Industry},{is_major:N,name:organizations,rank:4,value:Securities Exchange Commission},{is_major:N,name:subject,rank:5,value:Dodd-Frank Wall Street Reform Consumer Protection Act 2010},{is_major:N,name:subject,rank:6,value:Prices Fares, Fees Rates},{is_major:N,name:persons,rank:7,value:<PERSON>Appelbaum<\/PERSON>, <PERSON>Eileen<\/PERSON>},{is_major:N,name:subject,rank:2,value:Prices Fares, Fees Rates},{is_major:N,name:subject,rank:3,value:Pensions Retirement Plans},{is_major:N,name:organizations,rank:4,value:Securities Exchange Commission},{is_major:N,name:subject,rank:5,value:Dodd-Frank Wall Street Reform Consumer Protection Act 2010},{is_major:N,name:subject,rank:6,value:Private Equity},{is_major:N,name:subject,rank:7,value:Regulation Deregulation Industry}]",Business Day,null,The New York Times,[],SundayBusiness,2014-12-28T00:00:00Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/12/28/business/28-PRIVATE-1/28-PRIVATE-1-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/12/28/business/28-PRIVATE-1/28-PRIVATE-1-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/12/28/business/28-PRIVATE-1/28-PRIVATE-1-articleLarge.jpg,xlargewidth:600,xlargeheight:343},subtype:xlarge,width:600,type:image,url:images/2014/12/28/business/28-PRIVATE-1/28-PRIVATE-1-articleLarge.jpg,height:343},{legacy:{thumbnail:images/2014/12/28/business/28-PRIVATE-JP/28-PRIVATE-JP-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/12/28/business/28-PRIVATE-JP/28-PRIVATE-JP-thumbStandard.jpg,height:75}]",1944,It’s a rare shift in a long-opaque industry: A firm is letting investors hire an outside monitor to review a fund’s books and practices.,News,http://www.nytimes.com/2014/12/28/business/entering-the-secret-garden-of-private-equity.html,549ed0ec7988105ced78871d,null,"{main:Entering Secret Garden Private Equity,print_headline:Entering Secret Garden Private Equity}","{contributor:,original:By <PERSON>GRETCHEN MORGENSON<\/PERSON>,person:[{firstname:Gretchen,role:reported,organization:,rank:1,lastname:MORGENSON}]}",article
