snippet,print_page,keywords,section_name,abstract,source,blog,news_desk,pub_date,multimedia,word_count,lead_paragraph,type_of_material,web_url,_id,subsection_name,headline,byline,document_type
"DISH Networks Inc <DATE>Thursday</DATE> make The Interview, controversial <ORGANIZATION>Sony Pictures Entertainment</ORGANIZATION> film fictitious assassination North Korean leader <PERSON>Kim Jong Un</PERSON>, pay-per-view option starting Jan 2.",null,[],Arts,null,Reuters,[],None,2015-01-01T14:13:13Z,[],173,"DISH Networks Inc <DATE>Thursday</DATE> make The Interview, controversial <ORGANIZATION>Sony Pictures Entertainment</ORGANIZATION> film fictitious assassination North Korean leader <PERSON>Kim Jong Un</PERSON>, pay-per-view option starting Jan 2.",News,http://www.nytimes.com/reuters/2015/01/01/arts/01reuters-dish-theinterview.html,54a59cea7988102023c94688,null,"{main:DISH Network Make 'The Interview' Available January 2,print_headline:DISH Network Make 'The Interview' Available January 2}","{original:By REUTERS,person:[],organization:REUTERS}",article
"<PERSON>Emma Watson Hermione Harry Potter</PERSON> stars Ballet Shoes, heartwarming uplifting film based beloved, best-selling <PERSON>Noel Streatfeild</PERSON> featuring award-winning cast includes <ORGANIZATION>Emilia Fox</ORGANIZATION>, <PERSON>Victoria Wood</PERSON>, <PERSON>Richard Griff</PERSON>",null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T13:38:01Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/02/03/movies/video-ballet-shoes/video-ballet-shoes-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/02/03/movies/video-ballet-shoes/video-ballet-shoes-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/02/03/movies/video-ballet-shoes/video-ballet-shoes-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/02/03/movies/video-ballet-shoes/video-ballet-shoes-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/02/03/movies/video-ballet-shoes/video-ballet-shoes-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/02/03/movies/video-ballet-shoes/video-ballet-shoes-thumbStandard.jpg,height:75}]",37,"<PERSON>Emma Watson Hermione Harry Potter</PERSON> stars Ballet Shoes, heartwarming uplifting film based beloved, best-selling <PERSON>Noel Streatfeild</PERSON> featuring award-winning cast includes <ORGANIZATION>Emilia Fox</ORGANIZATION>, <PERSON>Victoria Wood</PERSON>, <PERSON>Richard Griff</PERSON>",Video,http://www.nytimes.com/video/movies/100000003290000/ballet-shoes.html,54a5941e7988102023c943cd,null,{"main":"Ballet Shoes"},"{original:ITV Productions Limited,person:[{firstname:Itv,role:reported,organization:,middlename:Productions,rank:1,lastname:Limited}]}",multimedia
"Desperate revive careers, The <PERSON>Dukes</PERSON>, one-time top-selling Doo Wop group, hatch plan rob 35 pounds gold. But pull score lives, tune, act learn crack",null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T13:18:00Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/02/03/movies/video-the-dukes/video-the-dukes-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/02/03/movies/video-the-dukes/video-the-dukes-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/02/03/movies/video-the-dukes/video-the-dukes-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/02/03/movies/video-the-dukes/video-the-dukes-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/02/03/movies/video-the-dukes/video-the-dukes-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/02/03/movies/video-the-dukes/video-the-dukes-thumbStandard.jpg,height:75}]",49,"Desperate revive careers, The <PERSON>Dukes</PERSON>, one-time top-selling Doo Wop group, hatch plan rob 35 pounds gold. But pull score lives, tune, act learn crack",Video,http://www.nytimes.com/video/movies/100000003386264/the-dukes.html,54a58f6a7988102023c94256,null,{"main":"The Dukes"},"{original:E1 Entertainment,person:[{role:reported,organization:,rank:1}]}",multimedia
"Beppo, <LOCATION>Ezmo</LOCATION>, Mario...uh-oh! When Kid <PERSON>Sally</PERSON> gang goodfellas plan grab piece mob action, no-brainer. The screen version newspaperman <PERSON>Jimmy Breslin</PERSON>'s best-selling comic <LOCATION>Brooklyn</LOCATION> turf war",null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T12:45:39Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/02/03/movies/video-the-gang-that-couldnt-shoot-straight/video-the-gang-that-couldnt-shoot-straight-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/02/03/movies/video-the-gang-that-couldnt-shoot-straight/video-the-gang-that-couldnt-shoot-straight-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/02/03/movies/video-the-gang-that-couldnt-shoot-straight/video-the-gang-that-couldnt-shoot-straight-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/02/03/movies/video-the-gang-that-couldnt-shoot-straight/video-the-gang-that-couldnt-shoot-straight-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/02/03/movies/video-the-gang-that-couldnt-shoot-straight/video-the-gang-that-couldnt-shoot-straight-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/02/03/movies/video-the-gang-that-couldnt-shoot-straight/video-the-gang-that-couldnt-shoot-straight-thumbStandard.jpg,height:75}]",43,"Beppo, <LOCATION>Ezmo</LOCATION>, Mario...uh-oh! When Kid <PERSON>Sally</PERSON> gang goodfellas plan grab piece mob action, no-brainer. The screen version newspaperman <PERSON>Jimmy Breslin</PERSON>'s best-selling comic <LOCATION>Brooklyn</LOCATION> turf war",Video,http://www.nytimes.com/video/movies/100000003387695/the-gang-that-couldnt-shoot-straight.html,54a587d67988102023c93fff,null,{"main":"The Gang That Couldn't Shoot Straight"},"{original:Warner Home Video,person:[{firstname:Warner,role:reported,organization:,middlename:Home,rank:1,lastname:Video}]}",multimedia
"Actress <PERSON>Susan Sarandon</PERSON> narrates this all-new visually-stunning and thought-provoking documentary based upon <ORGANIZATION>New York Times</ORGANIZATION> best-selling author <PERSON>Dan Burstein</PERSON>’s book Secrets of the Code, which takes a look at the controversy surrounding the...",null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T12:18:03Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/02/03/movies/video-secrets-of-the-code/video-secrets-of-the-code-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/02/03/movies/video-secrets-of-the-code/video-secrets-of-the-code-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/02/03/movies/video-secrets-of-the-code/video-secrets-of-the-code-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/02/03/movies/video-secrets-of-the-code/video-secrets-of-the-code-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/02/03/movies/video-secrets-of-the-code/video-secrets-of-the-code-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/02/03/movies/video-secrets-of-the-code/video-secrets-of-the-code-thumbStandard.jpg,height:75}]",34,"Actress <PERSON>Susan Sarandon</PERSON> narrates this all-new visually-stunning and thought-provoking documentary based upon <ORGANIZATION>New York Times</ORGANIZATION> best-selling author <PERSON>Dan Burstein</PERSON>’s book Secrets of the Code, which takes a look at the controversy surrounding the best-sell",Video,http://www.nytimes.com/video/movies/100000003372294/secrets-of-the-code.html,54a5817a7988102023c93e05,null,{"main":"Secrets Of The Code"},"{original:Sony Entertainment,person:[{firstname:Sony,role:reported,organization:,rank:1,lastname:Entertainment}]}",multimedia
Based story selling author <PERSON>Jonathan Lethem</PERSON>.,null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T11:07:29Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/02/03/movies/video-light-and-the-sufferer/video-light-and-the-sufferer-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/02/03/movies/video-light-and-the-sufferer/video-light-and-the-sufferer-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/02/03/movies/video-light-and-the-sufferer/video-light-and-the-sufferer-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/02/03/movies/video-light-and-the-sufferer/video-light-and-the-sufferer-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/02/03/movies/video-light-and-the-sufferer/video-light-and-the-sufferer-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/02/03/movies/video-light-and-the-sufferer/video-light-and-the-sufferer-thumbStandard.jpg,height:75}]",10,Based story selling author <PERSON>Jonathan Lethem</PERSON>.,Video,http://www.nytimes.com/video/movies/100000003350036/light-and-the-sufferer.html,54a570c479881011bed2cd95,null,{"main":"Light And The Sufferer"},"{original:Lightyear Entertainment,person:[{firstname:Lightyear,role:reported,organization:,rank:1,lastname:Entertainment}]}",multimedia
"Based on the best selling book by medium <PERSON>Chico Xavier</PERSON>. André Luiz, a successful doctor, experiences an enlightening spiritual awakening after his death. When he wakes up in the spiritual world, he embarks on a new journey of self-discovery and trans",null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T10:46:39Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/02/03/movies/video-astral-city-a-spiritual-journey/video-astral-city-a-spiritual-journey-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/02/03/movies/video-astral-city-a-spiritual-journey/video-astral-city-a-spiritual-journey-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/02/03/movies/video-astral-city-a-spiritual-journey/video-astral-city-a-spiritual-journey-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/02/03/movies/video-astral-city-a-spiritual-journey/video-astral-city-a-spiritual-journey-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/02/03/movies/video-astral-city-a-spiritual-journey/video-astral-city-a-spiritual-journey-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/02/03/movies/video-astral-city-a-spiritual-journey/video-astral-city-a-spiritual-journey-thumbStandard.jpg,height:75}]",41,"Based on the best selling book by medium <PERSON>Chico Xavier</PERSON>. André Luiz, a successful doctor, experiences an enlightening spiritual awakening after his death. When he wakes up in the spiritual world, he embarks on a new journey of self-discovery and trans",Video,http://www.nytimes.com/video/movies/100000003361763/astral-city-a-spiritual-journey.html,54a56be679881011bed2cc7c,null,{"main":"Astral City: A Spiritual Journey"},"{original:Strand Releasing,person:[{firstname:Strand,role:reported,organization:,rank:1,lastname:Releasing}]}",multimedia
"As acclaimed drummer Courtney Love's seminal rock band Hole, <PERSON>Patty Schemel</PERSON> middle. The openly gay woman felt dreamed part multi-platinum selling band, touring",null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T10:39:08Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/02/03/movies/video-hit-so-hard/video-hit-so-hard-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/02/03/movies/video-hit-so-hard/video-hit-so-hard-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/02/03/movies/video-hit-so-hard/video-hit-so-hard-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/02/03/movies/video-hit-so-hard/video-hit-so-hard-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/02/03/movies/video-hit-so-hard/video-hit-so-hard-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/02/03/movies/video-hit-so-hard/video-hit-so-hard-thumbStandard.jpg,height:75}]",44,"As acclaimed drummer Courtney Love's seminal rock band Hole, <PERSON>Patty Schemel</PERSON> middle. The openly gay woman felt dreamed part multi-platinum selling band, touring",Video,http://www.nytimes.com/video/movies/100000003336469/hit-so-hard.html,54a56a1e79881011bed2cc16,null,{"main":"Hit So Hard"},"{original:Well Go USA,person:[{firstname:Well,role:reported,organization:,middlename:Go,rank:1,lastname:USA}]}",multimedia
"Technological advancement, economic development, population increase - are they signs of a thriving society? Or too much of a good thing? Based on the best-selling book A <ORGANIZATION>Short History of Progress</ORGANIZATION>, this provocative documentary explores the concept o",null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T10:03:02Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/02/20/movies/video-surviving-progress/video-surviving-progress-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/02/20/movies/video-surviving-progress/video-surviving-progress-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/02/20/movies/video-surviving-progress/video-surviving-progress-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/02/20/movies/video-surviving-progress/video-surviving-progress-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/02/20/movies/video-surviving-progress/video-surviving-progress-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/02/20/movies/video-surviving-progress/video-surviving-progress-thumbStandard.jpg,height:75}]",38,"Technological advancement, economic development, population increase - are they signs of a thriving society? Or too much of a good thing? Based on the best-selling book A <ORGANIZATION>Short History of Progress</ORGANIZATION>, this provocative documentary explores the concept o",Video,http://www.nytimes.com/video/movies/100000003379318/surviving-progress.html,54a561bc79881011bed2ca35,null,{"main":"Surviving Progress"},"{original:National Film Board <LOCATION>Canada<\/LOCATION>,person:[{firstname:National,role:reported,organization:,middlename:Film,rank:1,lastname:Board}]}",multimedia
"Film adaptation selling book Stieg Larsson.Hoping distance fallout libel conviction, Journalist <PERSON>Michael Blomkvist</PERSON> retreats remote island <LOCATION>Sweden</LOCATION>'s north unsolved murder young girl sti",null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T08:55:28Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/03/04/movies/video-the-girl-with-the-dragon-tattoo/video-the-girl-with-the-dragon-tattoo-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/03/04/movies/video-the-girl-with-the-dragon-tattoo/video-the-girl-with-the-dragon-tattoo-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/03/04/movies/video-the-girl-with-the-dragon-tattoo/video-the-girl-with-the-dragon-tattoo-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/03/04/movies/video-the-girl-with-the-dragon-tattoo/video-the-girl-with-the-dragon-tattoo-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/03/04/movies/video-the-girl-with-the-dragon-tattoo/video-the-girl-with-the-dragon-tattoo-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/03/04/movies/video-the-girl-with-the-dragon-tattoo/video-the-girl-with-the-dragon-tattoo-thumbStandard.jpg,height:75}]",40,"Film adaptation selling book Stieg Larsson.Hoping distance fallout libel conviction, Journalist <PERSON>Michael Blomkvist</PERSON> retreats remote island <LOCATION>Sweden</LOCATION>'s north unsolved murder young girl sti",Video,http://www.nytimes.com/video/movies/100000003387923/the-girl-with-the-dragon-tattoo.html,54a551d779881011bed2c6ad,null,{"main":"The Girl With The Dragon Tattoo"},"{original:Columbia Pictures,person:[{firstname:Columbia,role:reported,organization:,rank:1,lastname:Pictures}]}",multimedia
