snippet,print_page,keywords,section_name,abstract,source,blog,news_desk,pub_date,multimedia,word_count,lead_paragraph,type_of_material,web_url,_id,subsection_name,headline,byline,document_type
"<ORGANIZATION>Samsung Electronics Co</ORGANIZATION>. Internet-connected televisions year internally developed operating system Tizen, company's latest attempt boost software power.",null,[],Business Day,null,AP,[],None,2015-01-01T23:38:55Z,[],305,"<ORGANIZATION>Samsung Electronics Co</ORGANIZATION>. Internet-connected televisions year internally developed operating system Tizen, company's latest attempt boost software power.",News,http://www.nytimes.com/aponline/2015/01/01/business/ap-as-skorea-samsung-smart-tv.html,54a621df7988102023c95491,null,"{main:Samsung TVs Use Company's Own Tizen Software,print_headline:Samsung TVs Use Company's Own Tizen Software}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
"A consortium led by Spanish-builder <PERSON>Sacyr</PERSON> said on <DATE>Thursday</DATE> it has won a <MONEY>$233 million 149.57 million pounds</MONEY> settlement in a dispute over cost overruns in an expansion of the <LOCATION>Panama Canal</LOCATION>, half what the group had been seeking in the lawsuit.",null,[],Business Day,null,Reuters,[],None,2015-01-01T15:39:04Z,[],189,"A consortium led by Spanish-builder <PERSON>Sacyr</PERSON> said on <DATE>Thursday</DATE> it has won a <MONEY>$233 million 149.57 million pounds</MONEY> settlement in a dispute over cost overruns in an expansion of the <LOCATION>Panama Canal</LOCATION>, half what the group had been seeking in the lawsuit. ",News,http://www.nytimes.com/reuters/2015/01/01/business/01reuters-sacyr-panama.html,54a5b0a37988102023c94a49,null,"{main:Sacyr-Led Group Wins <MONEY>$233 Million<\/MONEY> Claim in <LOCATION>Panama<\/LOCATION> Canal Dispute,print_headline:Sacyr-Led Group Wins <MONEY>$233 Million<\/MONEY> Claim in <LOCATION>Panama<\/LOCATION> Canal Dispute}","{original:By REUTERS,person:[],organization:REUTERS}",article
The <ORGANIZATION>Arizona Cardinals</ORGANIZATION> head east third-stringer <PERSON>Ryan Lindley</PERSON> starting quarterback.,null,[],Sports,null,AP,[],None,2015-01-01T15:25:30Z,[],577,The <ORGANIZATION>Arizona Cardinals</ORGANIZATION> head east third-stringer <PERSON>Ryan Lindley</PERSON> starting quarterback.,News,http://www.nytimes.com/aponline/2015/01/01/sports/football/ap-fbn-cardinals-wild-card.html,54a5adea7988102023c94a0c,Pro Football,"{main:Arians Confirms <PERSON>Lindley<\/PERSON> Will Start QB Against Carolina,print_headline:Arians Confirms <PERSON>Lindley<\/PERSON> Will Start QB Against Carolina}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
Dwyane Wade angry. Just.,null,[],Sports,null,AP,[],None,2015-01-01T12:39:32Z,[],715,Dwyane Wade angry. Just.,News,http://www.nytimes.com/aponline/2015/01/01/sports/basketball/ap-bkn-heat-wades-year.html,54a5871e7988102023c93fca,Pro Basketball,"{main:Dwyane Wade Looking Ahead After Year Change,print_headline:Dwyane Wade Looking Ahead After Year Change}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
The year expected bring rising chicken egg prices <LOCATION>U.S. California</LOCATION> starts requiring farmers house hens cages space move stretch wings.,null,[],Business Day,null,AP,[],Business,2015-01-01T10:32:26Z,[],626,The year expected bring rising chicken egg prices <LOCATION>U.S. California</LOCATION> starts requiring farmers house hens cages space move stretch wings.,News,http://www.nytimes.com/aponline/2015/01/01/us/ap-us-chicken-cage-california-law.html,54a568e579881011bed2cbce,null,"{main:More Room Chickens Likely Means Costlier Eggs,print_headline:More Room Chickens Likely Means Costlier Eggs}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
"Blood. Tattoos. Sisterhood. A group girls 1950s <LOCATION>New York</LOCATION> form Foxfire gang, embarking journey revenge living rules, matter cost.",null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T09:57:35Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/02/20/movies/video-foxfire/video-foxfire-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/02/20/movies/video-foxfire/video-foxfire-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/02/20/movies/video-foxfire/video-foxfire-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/02/20/movies/video-foxfire/video-foxfire-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/02/20/movies/video-foxfire/video-foxfire-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/02/20/movies/video-foxfire/video-foxfire-thumbStandard.jpg,height:75}]",33,"Blood. Tattoos. Sisterhood. A group girls 1950s <LOCATION>New York</LOCATION> form Foxfire gang, embarking journey revenge living rules, matter cost.",Video,http://www.nytimes.com/video/movies/100000003325017/foxfire.html,54a5606a79881011bed2c9e8,null,{"main":"Foxfire"},"{original:FilmBuff,person:[{firstname:Filmbuff,role:reported,organization:,rank:1}]}",multimedia
"Over the past 40 years, the War on Drugs has cost more than <MONEY>$1 trillion dollars</MONEY> and accounted for over 45 million arrests. The <LOCATION>US</LOCATION> incarcerates almost <PERCENT>25%</PERCENT> of the prisoners in the entire world although we have only <PERCENT>5%</PERCENT> of the world's population. Black",null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T09:51:15Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/02/20/movies/video-the-house-i-live-in/video-the-house-i-live-in-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/02/20/movies/video-the-house-i-live-in/video-the-house-i-live-in-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/02/20/movies/video-the-house-i-live-in/video-the-house-i-live-in-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/02/20/movies/video-the-house-i-live-in/video-the-house-i-live-in-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/02/20/movies/video-the-house-i-live-in/video-the-house-i-live-in-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/02/20/movies/video-the-house-i-live-in/video-the-house-i-live-in-thumbStandard.jpg,height:75}]",45,"Over the past 40 years, the War on Drugs has cost more than <MONEY>$1 trillion dollars</MONEY> and accounted for over 45 million arrests. The <LOCATION>US</LOCATION> incarcerates almost <PERCENT>25%</PERCENT> of the prisoners in the entire world although we have only <PERCENT>5%</PERCENT> of the world's population. Black",Video,http://www.nytimes.com/video/movies/100000003389795/the-house-i-live-in.html,54a55ee679881011bed2c995,null,{"main":"The House I Live In"},"{original:Charlotte Street Films,person:[{firstname:<LOCATION>Charlotte<\/LOCATION>,role:reported,organization:,middlename:Street,rank:1,lastname:Films}]}",multimedia
"Pope <PERSON>Francis</PERSON> urged people religions cultures <DATE>Thursday</DATE> unite fight modern slavery human trafficking, Mass <DATE>2015</DATE> God-given free.",null,[],World,null,Reuters,[],None,2015-01-01T07:29:54Z,[],310,"Pope <PERSON>Francis</PERSON> urged people religions cultures <DATE>Thursday</DATE> unite fight modern slavery human trafficking, Mass <DATE>2015</DATE> God-given free.",News,http://www.nytimes.com/reuters/2015/01/01/world/europe/01reuters-pope-peace.html,54a53e1b79881011bed2c23d,<LOCATION>Europe</LOCATION>,"{main:Pope Urges <ORGANIZATION>United Fight Against Slavery<\/ORGANIZATION>, Human Trafficking,print_headline:Pope Urges United Fight Against Slavery, Human Trafficking}","{original:By REUTERS,person:[],organization:REUTERS}",article
"Outraged legal system's failure punish man murdered daughter, mother transforms weapon vengeance, heedless cost remaining family.",null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T03:12:12Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/03/21/movies/video-eye-for-an-eye/video-eye-for-an-eye-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/03/21/movies/video-eye-for-an-eye/video-eye-for-an-eye-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/03/21/movies/video-eye-for-an-eye/video-eye-for-an-eye-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/03/21/movies/video-eye-for-an-eye/video-eye-for-an-eye-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/03/21/movies/video-eye-for-an-eye/video-eye-for-an-eye-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/03/21/movies/video-eye-for-an-eye/video-eye-for-an-eye-thumbStandard.jpg,height:75}]",33,"Outraged legal system's failure punish man murdered daughter, mother transforms weapon vengeance, heedless cost remaining family.",Video,http://www.nytimes.com/video/movies/100000003322156/eye-for-an-eye.html,54a5015e79881011bed2b48c,null,{"main":"Eye For An Eye"},"{original:Paramount Home Entertainment,person:[{firstname:Paramount,role:reported,organization:,middlename:Home,rank:1,lastname:Entertainment}]}",multimedia
"There's year campaigning, positioning politicking campaign president kicks <LOCATION>Iowa</LOCATION> Caucus early <DATE>2016</DATE>. Ten things year campaign...",null,[],<LOCATION>U.S.</LOCATION>,null,AP,[],None,2015-01-01T03:09:54Z,[],1200,"There's year campaigning, positioning politicking campaign president kicks <LOCATION>Iowa</LOCATION> Caucus early <DATE>2016</DATE>. Ten things year campaign underway shake.",News,http://www.nytimes.com/aponline/2015/01/01/us/politics/ap-us-2016-things-to-watch.html,54a501a679881011bed2b49c,Politics,"{main:10 Things <DATE>2015<\/DATE> That Could Affect 2016 Campaign,print_headline:10 Things <DATE>2015<\/DATE> That Could Affect 2016 Campaign}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
