snippet,print_page,keywords,section_name,abstract,source,blog,news_desk,pub_date,multimedia,word_count,lead_paragraph,type_of_material,web_url,_id,subsection_name,headline,byline,document_type
He ran chance.,null,[],World,null,AP,[],None,2015-01-01T19:05:25Z,[],2584,He ran chance.,News,http://www.nytimes.com/aponline/2015/01/01/world/asia/ap-as-skorea-slave-islands.html,54a5e1337988102023c94ef7,Asia Pacific,"{main:'A Living Hell' Slaves Remote South Korean Islands,print_headline:'A Living Hell' Slaves Remote South Korean Islands}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
He ran chance.,null,[],World,null,AP,[],None,2015-01-01T19:05:25Z,[],1135,He ran chance.,News,http://www.nytimes.com/aponline/2015/01/01/world/asia/ap-as-skorea-slave-islands-abridged.html,54a5e12d7988102023c94ef5,Asia Pacific,"{main:'A Living Hell' Disabled Slaves South Korean Islands,print_headline:'A Living Hell' Disabled Slaves South Korean Islands}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
"European Central Bank President <PERSON>Mario Draghi</PERSON> risk central bank fulfilling mandate preserving price stability higher half year ago, reiterated readiness act early year...",null,[],Business Day,null,Reuters,[],None,2015-01-01T15:13:24Z,[],437,"European Central Bank President <PERSON>Mario Draghi</PERSON> risk central bank fulfilling mandate preserving price stability higher half year ago, reiterated readiness act early year.",News,http://www.nytimes.com/reuters/2015/01/01/business/01reuters-ecb-policy-draghi.html,54a5aaf87988102023c949cd,null,"{main:Draghi: Risk <ORGANIZATION>ECB<\/ORGANIZATION> Failing Its Mandate Higher Than Six Months Ago-Paper,print_headline:Draghi: Risk <ORGANIZATION>ECB<\/ORGANIZATION> Failing Its Mandate Higher Than Six Months Ago-Paper}","{original:By REUTERS,person:[],organization:REUTERS}",article
"<PERSON>Thomas Piketty</PERSON>, the author of “Capital in the <ORGANIZATION>Twenty-First Century</ORGANIZATION>,” says he does not think “it is the government’s role to decide who is honorable.”",null,"[{name:persons,rank:1,value:<PERSON>Piketty<\/PERSON>, Thomas},{name:glocations,rank:1,value:<LOCATION>France<\/LOCATION>},{name:subject,rank:1,value:Awards, Decorations Honors}]",Arts,"<PERSON>Thomas Piketty</PERSON>, the author of “Capital in the <ORGANIZATION>Twenty-First Century</ORGANIZATION>,” says he does not think “it is the government’s role to decide who is honorable.”",The New York Times,[],Culture,2015-01-01T14:22:25Z,[],215,null,Blog,http://artsbeat.blogs.nytimes.com/2015/01/01/piketty-turns-down-the-legion-of-honor/,54a59f0e7988102023c94724,null,"{main:Piketty Turns Down Legion Honor,print_headline:<PERSON>Piketty<\/PERSON> Says &#8216;Non&#8217; To Legion Honor,kicker:ArtsBeat}","{original:By <PERSON>JENNIFER SCHUESSLER<\/PERSON>,person:[{firstname:Jennifer,role:reported,organization:,rank:1,lastname:SCHUESSLER}]}",blogpost
"A club promoter, singer claiming legendary Irish tenor wanted law tax evasion, travels <LOCATION>Ireland</LOCATION> find real McCoy. Great performances, Beatty!",null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T13:20:23Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/02/03/movies/video-hear-my-song/video-hear-my-song-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/02/03/movies/video-hear-my-song/video-hear-my-song-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/02/03/movies/video-hear-my-song/video-hear-my-song-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/02/03/movies/video-hear-my-song/video-hear-my-song-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/02/03/movies/video-hear-my-song/video-hear-my-song-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/02/03/movies/video-hear-my-song/video-hear-my-song-thumbStandard.jpg,height:75}]",35,"A club promoter, singer claiming legendary Irish tenor wanted law tax evasion, travels <LOCATION>Ireland</LOCATION> find real McCoy. Great performances, Beatty!",Video,http://www.nytimes.com/video/movies/100000003331186/hear-my-song.html,54a590147988102023c94283,null,{"main":"Hear My Song"},"{original:Paramount Home Entertainment,person:[{firstname:Paramount,role:reported,organization:,middlename:Home,rank:1,lastname:Entertainment}]}",multimedia
"Golden-Globe nominated Emmy Award-winning Tony <PERSON>Randall</PERSON> Pillow Talk, TV's The Odd Couple plays <PERSON>Lorenzo Charlton</PERSON>, stuffy tax investigator farm Pop <PERSON>Larkin Paul Douglas Ma Larkin Una Merkel</PERSON> find",null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T07:12:17Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/03/21/movies/video-the-mating-game/video-the-mating-game-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/03/21/movies/video-the-mating-game/video-the-mating-game-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/03/21/movies/video-the-mating-game/video-the-mating-game-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/03/21/movies/video-the-mating-game/video-the-mating-game-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/03/21/movies/video-the-mating-game/video-the-mating-game-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/03/21/movies/video-the-mating-game/video-the-mating-game-thumbStandard.jpg,height:75}]",40,"Golden-Globe nominated Emmy Award-winning Tony <PERSON>Randall</PERSON> Pillow Talk, TV's The Odd Couple plays <PERSON>Lorenzo Charlton</PERSON>, stuffy tax investigator farm Pop <PERSON>Larkin Paul Douglas Ma Larkin Una Merkel</PERSON> find",Video,http://www.nytimes.com/video/movies/100000003393337/the-mating-game.html,54a539a679881011bed2c141,null,{"main":"The Mating Game"},"{original:Warner Home Video,person:[{firstname:Warner,role:reported,organization:,middlename:Home,rank:1,lastname:Video}]}",multimedia
"PRAY FOR JAPAN focuses key perspectives tragedy - School, Shelter, Family, Volunteers. With perspective meet victims faced significant obstacles fought overcome. Through vantage points, audie",null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T05:24:47Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/03/21/movies/video-pray-for-japan/video-pray-for-japan-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/03/21/movies/video-pray-for-japan/video-pray-for-japan-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/03/21/movies/video-pray-for-japan/video-pray-for-japan-articleLarge.jpg,xlargewidth:600,xlargeheight:337},subtype:xlarge,width:600,type:image,url:images/2014/03/21/movies/video-pray-for-japan/video-pray-for-japan-articleLarge.jpg,height:337},{legacy:{thumbnail:images/2014/03/21/movies/video-pray-for-japan/video-pray-for-japan-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/03/21/movies/video-pray-for-japan/video-pray-for-japan-thumbStandard.jpg,height:75}]",39,"PRAY FOR JAPAN focuses key perspectives tragedy - School, Shelter, Family, Volunteers. With perspective meet victims faced significant obstacles fought overcome. Through vantage points, audie",Video,http://www.nytimes.com/video/movies/100000003364989/pray-for-japan.html,54a5207479881011bed2bb9c,null,{"main":"Pray For <LOCATION>Japan<\/LOCATION>"},"{original:Pray <LOCATION>Japan<\/LOCATION> Film LLC,person:[{role:reported,organization:,rank:1}]}",multimedia
Cult classic flesh-eating zombies storm farmhouse group terrified people shelter.,null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T05:01:24Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/03/21/movies/video-night-of-the-living-dead/video-night-of-the-living-dead-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/03/21/movies/video-night-of-the-living-dead/video-night-of-the-living-dead-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/03/21/movies/video-night-of-the-living-dead/video-night-of-the-living-dead-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/03/21/movies/video-night-of-the-living-dead/video-night-of-the-living-dead-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/03/21/movies/video-night-of-the-living-dead/video-night-of-the-living-dead-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/03/21/movies/video-night-of-the-living-dead/video-night-of-the-living-dead-thumbStandard.jpg,height:75}]",19,Cult classic flesh-eating zombies storm farmhouse group terrified people shelter.,Video,http://www.nytimes.com/video/movies/100000003358730/night-of-the-living-dead.html,54a51b9c79881011bed2ba62,null,{"main":"Night Of The Living Dead"},"{original:Sony Pictures Home Entertainment,person:[{firstname:Sony,role:reported,organization:,middlename:Pictures,rank:1,lastname:Home}]}",multimedia
"Natanaël, seven, still doesn't know how to read. His eccentric old aunt bequeaths her house to his parents and her book collection to the young boy. Nat discovers that the books serve as a shelter for all the heroes found in children's literature. T",null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T04:12:08Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/03/21/movies/video-kerity-la-maison-des-contes/video-kerity-la-maison-des-contes-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/03/21/movies/video-kerity-la-maison-des-contes/video-kerity-la-maison-des-contes-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/03/21/movies/video-kerity-la-maison-des-contes/video-kerity-la-maison-des-contes-articleLarge.jpg,xlargewidth:600,xlargeheight:348},subtype:xlarge,width:600,type:image,url:images/2014/03/21/movies/video-kerity-la-maison-des-contes/video-kerity-la-maison-des-contes-articleLarge.jpg,height:348},{legacy:{thumbnail:images/2014/03/21/movies/video-kerity-la-maison-des-contes/video-kerity-la-maison-des-contes-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/03/21/movies/video-kerity-la-maison-des-contes/video-kerity-la-maison-des-contes-thumbStandard.jpg,height:75}]",44,"Natanaël, seven, still doesn't know how to read. His eccentric old aunt bequeaths her house to his parents and her book collection to the young boy. Nat discovers that the books serve as a shelter for all the heroes found in children's literature. T",Video,http://www.nytimes.com/video/movies/100000003346469/kerity-la-maison-des-contes.html,54a50f6c79881011bed2b7c7,null,"{main:Kerity, La Maison Des Contes}","{original:Haut Court,person:[{role:reported,organization:,rank:1}]}",multimedia
Political actions President <ORGANIZATION>Mahmoud Abbas Palestinian Authority</ORGANIZATION> week make harder create viable Palestinian state.,18,"[{is_major:Y,name:subject,rank:1,value:Editorials},{is_major:N,name:organizations,rank:11,value:European Union},{is_major:Y,name:persons,rank:2,value:Abbas, Mahmoud},{is_major:Y,name:organizations,rank:3,value:Palestinian Authority},{is_major:Y,name:subject,rank:4,value:Palestinians},{is_major:Y,name:glocations,rank:5,value:<LOCATION>Israel<\/LOCATION>},{is_major:N,name:organizations,rank:6,value:Security Council UN},{is_major:Y,name:organizations,rank:7,value:International Criminal Court},{is_major:N,name:organizations,rank:8,value:Hamas},{is_major:N,name:persons,rank:9,value:Netanyahu, Benjamin},{is_major:N,name:subject,rank:10,value:Israeli Settlements}]",Opinion,Editorial criticizes Palestinian Authority Pres Mahmoud Abbas political actions dim hopes two-state solution; contends <PERSON>Abbas</PERSON>'s decisions force losing vote Palestinian statehood <ORGANIZATION>United Nations Security Council join International Criminal Court</ORGANIZATION> give Israeli hard-liners reason reject peace talks possibly push collapse authority.,The New York Times,[],Editorial,2015-01-01T00:00:00Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2015/01/01/opinion/01THURS1/01THURS1-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2015/01/01/opinion/01THURS1/01THURS1-thumbWide.jpg,height:126},{legacy:{xlarge:images/2015/01/01/opinion/01THURS1/01THURS1-articleLarge.jpg,xlargewidth:600,xlargeheight:358},subtype:xlarge,width:600,type:image,url:images/2015/01/01/opinion/01THURS1/01THURS1-articleLarge.jpg,height:358},{legacy:{thumbnail:images/2015/01/01/opinion/01THURS1/01THURS1-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2015/01/01/opinion/01THURS1/01THURS1-thumbStandard.jpg,height:75}]",643,Political actions President <ORGANIZATION>Mahmoud Abbas Palestinian Authority</ORGANIZATION> week make harder create viable Palestinian state.,Editorial,http://www.nytimes.com/2015/01/01/opinion/the-palestinians-desperation-move.html,54a4a90d79881011bed2a070,null,"{content_kicker:Editorial,main:The Palestinians&#8217; Desperation Move,print_headline:The Palestinians\u2019 Desperation Move,kicker:Editorial}","{contributor:,original:By THE EDITORIAL BOARD,person:[],organization:THE EDITORIAL BOARD}",article
