snippet,print_page,keywords,section_name,abstract,source,blog,news_desk,pub_date,multimedia,word_count,lead_paragraph,type_of_material,web_url,_id,subsection_name,headline,byline,document_type
<PERSON>Andrew Cuomo</PERSON> sworn term governor <DATE>Thursday</DATE> hours father died.,null,[],<LOCATION>U.S.</LOCATION>,null,AP,[],None,2015-01-01T21:20:05Z,[],716,<PERSON>Andrew Cuomo</PERSON> sworn term governor <DATE>Thursday</DATE> hours father died.,News,http://www.nytimes.com/aponline/2015/01/01/us/ap-us-cuomo-inauguration.html,54a600e37988102023c951c6,null,"{main:Cuomo Begins 2nd Term Day His Father Dies,print_headline:Cuomo Begins 2nd Term Day His Father Dies}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
"According recent studies, half Americans prospect good job home white picket fence, existed unachievable.",null,"[{name:type_of_material,rank:1,value:News}]",Opinion,"According recent studies, half Americans prospect good job home white picket fence, existed unachievable.",The New York Times,[],null,2015-01-01T19:32:18Z,[],2347,,Blog,http://www.nytimes.com/roomfordebate/2015/01/01/is-the-modern-american-dream-attainable,54a5e8887988102023c94f9e,Room For Debate,"{main:Is Modern American Dream Attainable??,kicker:Room For Debate}",null,blogpost
"Private <PERSON>Kang Jang Dong-gun</PERSON>, The Warrior’s Way monitors a stretch of the South Korean coast lined with barbed-wire fencing. Driven by the belief that killing a spy is the highest honor, <PERSON>Kang</PERSON> eagerly awaits a chance to prove his worth as a soldier.",null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T13:56:01Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/02/03/movies/video-the-coast-guard/video-the-coast-guard-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/02/03/movies/video-the-coast-guard/video-the-coast-guard-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/02/03/movies/video-the-coast-guard/video-the-coast-guard-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/02/03/movies/video-the-coast-guard/video-the-coast-guard-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/02/03/movies/video-the-coast-guard/video-the-coast-guard-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/02/03/movies/video-the-coast-guard/video-the-coast-guard-thumbStandard.jpg,height:75}]",43,"Private <PERSON>Kang Jang Dong-gun</PERSON>, The Warrior’s Way monitors a stretch of the South Korean coast lined with barbed-wire fencing. Driven by the belief that killing a spy is the highest honor, <PERSON>Kang</PERSON> eagerly awaits a chance to prove his worth as a soldier.",Video,http://www.nytimes.com/video/movies/100000003384496/the-coast-guard.html,54a598567988102023c9451d,null,{"main":"The Coast Guard"},"{original:Palisades Tartan,person:[{firstname:Palisades,role:reported,organization:,rank:1,lastname:Tartan}]}",multimedia
"General Motors Co began year announcing vehicle recalls <DATE>Thursday</DATE>, ignition switch crisis continued dog automaker millions vehicles recalled <DATE>2014</DATE>.",null,[],Business Day,null,Reuters,[],None,2015-01-01T13:50:26Z,[],400,"General Motors Co began year announcing vehicle recalls <DATE>Thursday</DATE>, ignition switch crisis continued dog automaker millions vehicles recalled <DATE>2014</DATE>.",News,http://www.nytimes.com/reuters/2015/01/01/business/01reuters-gm-recalls-reports.html,54a597467988102023c944cc,null,"{main:General Motors Issues Three New Recalls, Cites Ignition Systems,print_headline:General Motors Issues Three New Recalls, Cites Ignition Systems}","{original:By REUTERS,person:[],organization:REUTERS}",article
A <LOCATION>San Francisco Bay Area</LOCATION> man accused shooting police officers apprehended lengthy manhunt neighborhood.,null,[],<LOCATION>U.S.</LOCATION>,null,AP,[],None,2015-01-01T13:08:39Z,[],196,A <LOCATION>San Francisco Bay Area</LOCATION> man accused shooting police officers apprehended lengthy manhunt neighborhood.,News,http://www.nytimes.com/aponline/2015/01/01/us/ap-us-shots-fired-on-police.html,54a58d737988102023c941c0,null,"{main:Man Accused Shooting Officers Is Arrested,print_headline:Man Accused Shooting Officers Is Arrested}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
Cannon's chronicle woman driven nervous breakdown. <PERSON>Shaeffer</PERSON>'s screen appearance tragic death!,null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T12:19:30Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/02/03/movies/video-the-end-of-innocence/video-the-end-of-innocence-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/02/03/movies/video-the-end-of-innocence/video-the-end-of-innocence-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/02/03/movies/video-the-end-of-innocence/video-the-end-of-innocence-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/02/03/movies/video-the-end-of-innocence/video-the-end-of-innocence-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/02/03/movies/video-the-end-of-innocence/video-the-end-of-innocence-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/02/03/movies/video-the-end-of-innocence/video-the-end-of-innocence-thumbStandard.jpg,height:75}]",18,Cannon's chronicle woman driven nervous breakdown. <PERSON>Shaeffer</PERSON>'s screen appearance tragic death!,Video,http://www.nytimes.com/video/movies/100000003386482/the-end-of-innocence.html,54a581ae7988102023c93e1e,null,{"main":"The End Of Innocence"},"{original:Madacy Home Video,person:[{firstname:Madacy,role:reported,organization:,middlename:Home,rank:1,lastname:Video}]}",multimedia
After serving five-year sentence drug dealing <PERSON>Gruver</PERSON> back streets ruthless. Driven greed ego risk reclaim city.,null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T11:15:43Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/02/03/movies/video-the-city-is-mine/video-the-city-is-mine-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/02/03/movies/video-the-city-is-mine/video-the-city-is-mine-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/02/03/movies/video-the-city-is-mine/video-the-city-is-mine-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/02/03/movies/video-the-city-is-mine/video-the-city-is-mine-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/02/03/movies/video-the-city-is-mine/video-the-city-is-mine-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/02/03/movies/video-the-city-is-mine/video-the-city-is-mine-thumbStandard.jpg,height:75}]",37,After serving five-year sentence drug dealing <PERSON>Gruver</PERSON> back streets ruthless. Driven greed ego risk reclaim city.,Video,http://www.nytimes.com/video/movies/100000003384423/the-city-is-mine.html,54a5739f79881011bed2ce05,null,{"main":"The City Is Mine"},"{original:Maverick Entertainment,person:[{firstname:Maverick,role:reported,organization:,rank:1,lastname:Entertainment}]}",multimedia
Classic screen version <PERSON>H.G. Wells</PERSON>' tale scientist driven insane discovery invisibility serum. Great screen debut Rains!,null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T07:00:05Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/03/21/movies/video-the-invisible-man/video-the-invisible-man-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/03/21/movies/video-the-invisible-man/video-the-invisible-man-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/03/21/movies/video-the-invisible-man/video-the-invisible-man-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/03/21/movies/video-the-invisible-man/video-the-invisible-man-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/03/21/movies/video-the-invisible-man/video-the-invisible-man-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/03/21/movies/video-the-invisible-man/video-the-invisible-man-thumbStandard.jpg,height:75}]",24,Classic screen version <PERSON>H.G. Wells</PERSON>' tale scientist driven insane discovery invisibility serum. Great screen debut Rains!,Video,http://www.nytimes.com/video/movies/100000003390798/the-invisible-man.html,54a536d879881011bed2c09d,null,{"main":"The Invisible Man"},"{original:Universal Studios Home Entertainment,person:[{firstname:Universal,role:reported,organization:,middlename:Studios,rank:1,lastname:Home}]}",multimedia
"Shakespeare's thriller tragic obsession. Deeply love queen, great jealous king driven act horrific madness evil vizier.",null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T05:12:50Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/03/21/movies/video-othello/video-othello-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/03/21/movies/video-othello/video-othello-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/03/21/movies/video-othello/video-othello-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/03/21/movies/video-othello/video-othello-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/03/21/movies/video-othello/video-othello-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/03/21/movies/video-othello/video-othello-thumbStandard.jpg,height:75}]",28,"Shakespeare's thriller tragic obsession. Deeply love queen, great jealous king driven act horrific madness evil vizier.",Video,http://www.nytimes.com/video/movies/100000003361677/othello.html,54a51da879881011bed2bafc,null,{"main":"Othello"},"{original:Sony Pictures Home Entertainment,person:[{firstname:Sony,role:reported,organization:,middlename:Pictures,rank:1,lastname:Home}]}",multimedia
<PERSON>Tennessee Williams</PERSON>' account lonely Southern housewife driven loveless marriage dangerous affair drifter.,null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T05:12:42Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/03/21/movies/video-orpheus-descending/video-orpheus-descending-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/03/21/movies/video-orpheus-descending/video-orpheus-descending-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/03/21/movies/video-orpheus-descending/video-orpheus-descending-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/03/21/movies/video-orpheus-descending/video-orpheus-descending-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/03/21/movies/video-orpheus-descending/video-orpheus-descending-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/03/21/movies/video-orpheus-descending/video-orpheus-descending-thumbStandard.jpg,height:75}]",20,<PERSON>Tennessee Williams</PERSON>' account lonely Southern housewife driven loveless marriage dangerous affair drifter.,Video,http://www.nytimes.com/video/movies/100000003361614/orpheus-descending.html,54a51d9e79881011bed2bafa,null,{"main":"Orpheus Descending"},"{original:Turner Home Entertainment,person:[{firstname:Turner,role:reported,organization:,middlename:Home,rank:1,lastname:Entertainment}]}",multimedia
