snippet,print_page,keywords,section_name,abstract,source,blog,news_desk,pub_date,multimedia,word_count,lead_paragraph,type_of_material,web_url,_id,subsection_name,headline,byline,document_type
<PERSON>Mario Cuomo</PERSON>,null,[],<LOCATION>U.S.</LOCATION>,null,AP,[],None,2015-01-01T21:57:57Z,[],108,<PERSON>Mario Cuomo</PERSON>,News,http://www.nytimes.com/aponline/2015/01/01/us/ap-us-obit-mario-cuomo-highlights.html,54a60a087988102023c95294,null,"{main:Highlights Career <PERSON>Mario Cuomo<\/PERSON>,print_headline:Highlights Career <PERSON>Mario Cuomo<\/PERSON>}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
"<PERSON>Mario Cuomo</PERSON>, son Italian immigrants eloquent spokesman generation liberal Democrats terms governor <LOCATION>New York</LOCATION> bring run president, died. He 82.",null,[],<LOCATION>U.S.</LOCATION>,null,AP,[],None,2015-01-01T21:15:05Z,[],1240,"<PERSON>Mario Cuomo</PERSON>, son Italian immigrants eloquent spokesman generation liberal Democrats terms governor <LOCATION>New York</LOCATION> bring run president, died. He 82.",News,http://www.nytimes.com/aponline/2015/01/01/us/ap-us-obit-mario-cuomo-.html,54a600187988102023c951b2,null,"{main:Ex-NY Gov. <PERSON>Mario Cuomo<\/PERSON>, Famed Oratory, Dies 82,print_headline:Ex-NY Gov. <PERSON>Mario Cuomo<\/PERSON>, Famed Oratory, Dies 82}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
"Deals worth nearly <MONEY>$3.5 trillion</MONEY> were announced, a performance favored by low interest rates and high stock prices.",null,"[{is_major:Y,name:subject,rank:1,value:Mergers, Acquisitions Divestitures}]",Business Day,"Deals worth nearly <MONEY>$3.5 trillion</MONEY> were announced, a performance favored by low interest rates and high stock prices.",The New York Times,[],Business,2015-01-01T19:32:44Z,[],525,null,Blog,http://dealbook.nytimes.com/2015/01/01/deal-makers-notched-nearly-3-5-trillion-worth-in-14-best-in-7-years/,54a5e7cc7988102023c94f8e,Dealbook,"{main:Deal Makers Notched Nearly <MONEY>$3.5<\/MONEY> <ORGANIZATION>Trillion Worth<\/ORGANIZATION> in &rsquo;14, Best in 7 Years,print_headline:Deal Makers Notched Nearly <MONEY>$3.5 Trillion<\/MONEY> Worth in \u201914, Best in 7 Years,kicker:DealBook}","{original:By <PERSON>MICHAEL J. DE<\/PERSON> LA MERCED,person:[{firstname:Michael,role:reported,organization:,middlename:J.,rank:1,lastname:DE LA MERCED}]}",blogpost
He ran chance.,null,[],World,null,AP,[],None,2015-01-01T19:05:25Z,[],2584,He ran chance.,News,http://www.nytimes.com/aponline/2015/01/01/world/asia/ap-as-skorea-slave-islands.html,54a5e1337988102023c94ef7,Asia Pacific,"{main:'A Living Hell' Slaves Remote South Korean Islands,print_headline:'A Living Hell' Slaves Remote South Korean Islands}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
He ran chance.,null,[],World,null,AP,[],None,2015-01-01T19:05:25Z,[],1135,He ran chance.,News,http://www.nytimes.com/aponline/2015/01/01/world/asia/ap-as-skorea-slave-islands-abridged.html,54a5e12d7988102023c94ef5,Asia Pacific,"{main:'A Living Hell' Disabled Slaves South Korean Islands,print_headline:'A Living Hell' Disabled Slaves South Korean Islands}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
<PERSON>Arsene Wenger</PERSON> played incident led arrest <LOCATION>Southampton</LOCATION> fan Arsenal side 2-0 south coast <DATE>Thursday</DATE>.,null,[],Sports,null,Reuters,[],None,2015-01-01T17:16:21Z,[],211,<PERSON>Arsene Wenger</PERSON> played incident led arrest <LOCATION>Southampton</LOCATION> fan Arsenal side 2-0 south coast <DATE>Thursday</DATE>.,News,http://www.nytimes.com/reuters/2015/01/01/sports/soccer/01reuters-soccer-england-arsenal.html,54a5c7d27988102023c94c5b,Soccer,"{main:Fan Arrested Going Into <PERSON>Wenger<\/PERSON>'s Dugout,print_headline:Fan Arrested Going Into <PERSON>Wenger<\/PERSON>'s Dugout}","{original:By REUTERS,person:[],organization:REUTERS}",article
"<PERSON>Bill Polian</PERSON> told <LOCATION>Buffalo</LOCATION> Bills, thanks: He's taking running proposed front-office job team.",null,[],Sports,null,AP,[],None,2015-01-01T14:51:09Z,[],412,"<PERSON>Bill Polian</PERSON> told <LOCATION>Buffalo</LOCATION> Bills, thanks: He's taking running proposed front-office job team.",News,http://www.nytimes.com/aponline/2015/01/01/sports/football/ap-fbn-bills-polian.html,54a5a6117988102023c94956,Pro Football,"{main:Polian Informs Bills He's Staying Broadcasting,print_headline:Polian Informs Bills He's Staying Broadcasting}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
The Alamo Bowl raises intriguing question UCLA: Is college farewell coach <PERSON>Jim Mora</PERSON>??,null,[],Sports,null,AP,[],None,2015-01-01T13:40:44Z,[],607,The Alamo Bowl raises intriguing question UCLA: Is college farewell coach <PERSON>Jim Mora</PERSON>??,News,http://www.nytimes.com/aponline/2015/01/01/sports/ncaafootball/ap-fbc-t25-alamo-bowl.html,54a5954d7988102023c9442c,College Football,"{main:Is Alamo Bowl Finale UCLA Coach <PERSON>Jim Mora<\/PERSON>??,print_headline:Is Alamo Bowl Finale UCLA Coach <PERSON>Jim Mora<\/PERSON>??}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
"Uber, Facebook, Instagram &#8212;, rage, <DATE>2014</DATE> winds ready fresh. From ride-hailing photo sharing, up-and coming apps startups watch <DATE>2015</DATE>. Which...",null,[],Technology,null,AP,[],None,2015-01-01T13:09:18Z,[],840,"Uber, Facebook, Instagram &#8212;, rage, <DATE>2014</DATE> winds ready fresh. From ride-hailing photo sharing, up-and coming apps startups watch <DATE>2015</DATE>. Which breakout hit year??",News,http://www.nytimes.com/aponline/2015/01/01/technology/ap-us-tec-startups-to-watch-in-2015.html,54a58e407988102023c941fb,null,"{main:In With New: Snappy Apps 2015,print_headline:In With New: Snappy Apps 2015}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
"LAST DAYS HERE, documentary <PERSON>Don Argott Demian Fenton</PERSON> THE ART OF THE STEAL, ROCK SCHOOL, raw, unexpectedly touching chronicle cult metal legend <PERSON>Bobby Liebling</PERSON>'s bid resurrect life career decades wasting",null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T09:50:51Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/02/20/movies/video-last-days-here/video-last-days-here-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/02/20/movies/video-last-days-here/video-last-days-here-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/02/20/movies/video-last-days-here/video-last-days-here-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/02/20/movies/video-last-days-here/video-last-days-here-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/02/20/movies/video-last-days-here/video-last-days-here-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/02/20/movies/video-last-days-here/video-last-days-here-thumbStandard.jpg,height:75}]",42,"LAST DAYS HERE, documentary <PERSON>Don Argott Demian Fenton</PERSON> THE ART OF THE STEAL, ROCK SCHOOL, raw, unexpectedly touching chronicle cult metal legend <PERSON>Bobby Liebling</PERSON>'s bid resurrect life career decades wasting",Video,http://www.nytimes.com/video/movies/100000003348409/last-days-here.html,54a55ed479881011bed2c990,null,{"main":"Last Days Here"},"{original:Sundance Selects,person:[{firstname:Sundance,role:reported,organization:,rank:1,lastname:Selects}]}",multimedia
