snippet,print_page,keywords,section_name,abstract,source,blog,news_desk,pub_date,multimedia,word_count,lead_paragraph,type_of_material,web_url,_id,subsection_name,headline,byline,document_type
"<ORGANIZATION>Samsung Electronics Co</ORGANIZATION>. Internet-connected televisions year internally developed operating system Tizen, company's latest attempt boost software power.",null,[],Business Day,null,AP,[],None,2015-01-01T23:38:55Z,[],305,"<ORGANIZATION>Samsung Electronics Co</ORGANIZATION>. Internet-connected televisions year internally developed operating system Tizen, company's latest attempt boost software power.",News,http://www.nytimes.com/aponline/2015/01/01/business/ap-as-skorea-samsung-smart-tv.html,54a621df7988102023c95491,null,"{main:Samsung TVs Use Company's Own Tizen Software,print_headline:Samsung TVs Use Company's Own Tizen Software}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
"<PERSON>Mario Cuomo</PERSON>, three-time governor <LOCATION>New York</LOCATION> leading voice Democratic Party's liberal wing turned invitations seek <LOCATION>U.S.</LOCATION> presidency, died <DATE>Thursday</DATE>. He 82.",null,[],<LOCATION>U.S.</LOCATION>,null,Reuters,[],None,2015-01-01T20:13:45Z,[],839,"<PERSON>Mario Cuomo</PERSON>, three-time governor <LOCATION>New York</LOCATION> leading voice Democratic Party's liberal wing turned invitations seek <LOCATION>U.S.</LOCATION> presidency, died <DATE>Thursday</DATE>. He 82.",News,http://www.nytimes.com/reuters/2015/01/01/us/01reuters-usa-politics-cuomo.html,54a5f16f7988102023c95066,null,"{main:Former <LOCATION>New York<\/LOCATION> Governor <PERSON>Mario Cuomo<\/PERSON> Dead 82,print_headline:Former <LOCATION>New York<\/LOCATION> Governor <PERSON>Mario Cuomo<\/PERSON> Dead 82}","{original:By REUTERS,person:[],organization:REUTERS}",article
He ran chance.,null,[],World,null,AP,[],None,2015-01-01T19:05:25Z,[],2584,He ran chance.,News,http://www.nytimes.com/aponline/2015/01/01/world/asia/ap-as-skorea-slave-islands.html,54a5e1337988102023c94ef7,Asia Pacific,"{main:'A Living Hell' Slaves Remote South Korean Islands,print_headline:'A Living Hell' Slaves Remote South Korean Islands}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
He ran chance.,null,[],World,null,AP,[],None,2015-01-01T19:05:25Z,[],1135,He ran chance.,News,http://www.nytimes.com/aponline/2015/01/01/world/asia/ap-as-skorea-slave-islands-abridged.html,54a5e12d7988102023c94ef5,Asia Pacific,"{main:'A Living Hell' Disabled Slaves South Korean Islands,print_headline:'A Living Hell' Disabled Slaves South Korean Islands}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
"When gamble <LOCATION>Thailand</LOCATION>, gambling life.Five friends <LOCATION>Bangkok</LOCATION> good times action, night's end, find broke debt ruthless local mobster. They hatch simple plan, stage",null,[],Movies,null,Internet Video Archive,[],Movies,2015-01-01T17:24:34Z,"[{legacy:{wideheight:126,widewidth:190,wide:images/2014/05/12/movies/video-bangkok-adrenaline/video-bangkok-adrenaline-thumbWide.jpg},subtype:wide,width:190,type:image,url:images/2014/05/12/movies/video-bangkok-adrenaline/video-bangkok-adrenaline-thumbWide.jpg,height:126},{legacy:{xlarge:images/2014/05/12/movies/video-bangkok-adrenaline/video-bangkok-adrenaline-articleLarge.jpg,xlargewidth:600,xlargeheight:338},subtype:xlarge,width:600,type:image,url:images/2014/05/12/movies/video-bangkok-adrenaline/video-bangkok-adrenaline-articleLarge.jpg,height:338},{legacy:{thumbnail:images/2014/05/12/movies/video-bangkok-adrenaline/video-bangkok-adrenaline-thumbStandard.jpg,thumbnailwidth:75,thumbnailheight:75},subtype:thumbnail,width:75,type:image,url:images/2014/05/12/movies/video-bangkok-adrenaline/video-bangkok-adrenaline-thumbStandard.jpg,height:75}]",43,"When gamble <LOCATION>Thailand</LOCATION>, gambling life.Five friends <LOCATION>Bangkok</LOCATION> good times action, night's end, find broke debt ruthless local mobster. They hatch simple plan, stage",Video,http://www.nytimes.com/video/movies/100000003290141/bangkok-adrenaline.html,54a5c9307988102023c94cbc,null,{"main":"Bangkok Adrenaline"},"{original:Imagine Entertainment,person:[{firstname:Imagine,role:reported,organization:,rank:1,lastname:Entertainment}]}",multimedia
An 18-year-old man arrested allegedly threatening <LOCATION>Connecticut</LOCATION> town ready hail bullets bullied long.,null,[],<LOCATION>U.S.</LOCATION>,null,AP,[],None,2015-01-01T17:03:00Z,[],148,An 18-year-old man arrested allegedly threatening <LOCATION>Connecticut</LOCATION> town ready hail bullets bullied long.,News,http://www.nytimes.com/aponline/2015/01/01/us/ap-us-online-threat-arrest.html,54a5c4ff7988102023c94c1c,null,"{main:Police: Teen Arrested 'Hail Bullets' Threat,print_headline:Police: Teen Arrested 'Hail Bullets' Threat}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
"A federal judge <LOCATION>Florida</LOCATION>'s county court clerks legal duty issue marriage licenses same-sex couples, stopped short ordering.",null,[],<LOCATION>U.S.</LOCATION>,null,AP,[],None,2015-01-01T16:50:52Z,[],545,"A federal judge <LOCATION>Florida</LOCATION>'s county court clerks legal duty issue marriage licenses same-sex couples, stopped short ordering.",News,http://www.nytimes.com/aponline/2015/01/01/us/ap-us-gay-marriage-florida.html,54a5c2317988102023c94bd8,null,"{main:Judge: Clerks Have Duty Issue Same-Sex Marriage Licenses,print_headline:Judge: Clerks Have Duty Issue Same-Sex Marriage Licenses}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
"A bit sunshine filled sky opening faceoff Winter Classic, seat cushions rained winning goal scored final whistle.",null,[],Sports,null,AP,[],None,2015-01-01T16:31:42Z,[],908,"A bit sunshine filled sky opening faceoff Winter Classic, seat cushions rained winning goal scored final whistle.",News,http://www.nytimes.com/aponline/2015/01/01/sports/hockey/ap-hkn-winter-classic.html,54a5bd4a7988102023c94b6a,Hockey,"{main:Capitals Top Blackhawks 3-2 Winter Classic,print_headline:Capitals Top Blackhawks 3-2 Winter Classic}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
The <ORGANIZATION>Arizona Cardinals</ORGANIZATION> head east third-stringer <PERSON>Ryan Lindley</PERSON> starting quarterback.,null,[],Sports,null,AP,[],None,2015-01-01T15:25:30Z,[],577,The <ORGANIZATION>Arizona Cardinals</ORGANIZATION> head east third-stringer <PERSON>Ryan Lindley</PERSON> starting quarterback.,News,http://www.nytimes.com/aponline/2015/01/01/sports/football/ap-fbn-cardinals-wild-card.html,54a5adea7988102023c94a0c,Pro Football,"{main:Arians Confirms <PERSON>Lindley<\/PERSON> Will Start QB Against Carolina,print_headline:Arians Confirms <PERSON>Lindley<\/PERSON> Will Start QB Against Carolina}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
"European Central Bank President <PERSON>Mario Draghi</PERSON> risk central bank fulfilling mandate preserving price stability higher half year ago, reiterated readiness act early year...",null,[],Business Day,null,Reuters,[],None,2015-01-01T15:13:24Z,[],437,"European Central Bank President <PERSON>Mario Draghi</PERSON> risk central bank fulfilling mandate preserving price stability higher half year ago, reiterated readiness act early year.",News,http://www.nytimes.com/reuters/2015/01/01/business/01reuters-ecb-policy-draghi.html,54a5aaf87988102023c949cd,null,"{main:Draghi: Risk <ORGANIZATION>ECB<\/ORGANIZATION> Failing Its Mandate Higher Than Six Months Ago-Paper,print_headline:Draghi: Risk <ORGANIZATION>ECB<\/ORGANIZATION> Failing Its Mandate Higher Than Six Months Ago-Paper}","{original:By REUTERS,person:[],organization:REUTERS}",article
