snippet,print_page,keywords,section_name,abstract,source,blog,news_desk,pub_date,multimedia,word_count,lead_paragraph,type_of_material,web_url,_id,subsection_name,headline,byline,document_type
"Chinese property developer <ORGANIZATION>Kaisa Group Holdings</ORGANIZATION> said it had failed to repay a <MONEY>HK$400 million 33 million pounds</MONEY> loan and warned it may default on more debt, the latest problem to hit the firm amid a downturn in the real estate sector.",null,[],Business Day,null,Reuters,[],None,2015-01-01T21:46:17Z,[],322,"Chinese property developer <ORGANIZATION>Kaisa Group Holdings</ORGANIZATION> said it had failed to repay a <MONEY>HK$400 million 33 million pounds</MONEY> loan and warned it may default on more debt, the latest problem to hit the firm amid a downturn in the real estate sector.",News,http://www.nytimes.com/reuters/2015/01/01/business/01reuters-china-kaisa-group-debt.html,54a607197988102023c95255,null,"{main:<LOCATION>China<\/LOCATION> Developer Kaisa S.ys Fails to Repay <MONEY>$51 Mln<\/MONEY> Loan, May Default on Others,print_headline:<LOCATION>China<\/LOCATION> Developer Kaisa Says Fails to Repay <MONEY>$51 Mln<\/MONEY> Loan, May Default on Others}","{original:By REUTERS,person:[],organization:REUTERS}",article
<LOCATION>Brazil</LOCATION>'s President <PERSON>Dilma Rousseff</PERSON> began term <DATE>Thursday</DATE> vowing rein government spending curb inflation pull <LOCATION>Latin America</LOCATION>'s largest economy four-year slump.,null,[],World,null,Reuters,[],None,2015-01-01T14:39:40Z,[],597,<LOCATION>Brazil</LOCATION>'s President <PERSON>Dilma Rousseff</PERSON> began term <DATE>Thursday</DATE> vowing rein government spending curb inflation pull <LOCATION>Latin America</LOCATION>'s largest economy four-year slump.,News,http://www.nytimes.com/reuters/2015/01/01/world/americas/01reuters-brazil-rousseff.html,54a5a35e7988102023c9487a,Americas,"{main:<LOCATION>Brazil<\/LOCATION>'s Rousseff Vows Budget Cuts, Anti-Corruption Push Second Term,print_headline:<LOCATION>Brazil<\/LOCATION>'s Rousseff Vows Budget Cuts, Anti-Corruption Push Second Term}","{original:By REUTERS,person:[],organization:REUTERS}",article
"<LOCATION>China</LOCATION>'s factory activity sputtered <DATE>December</DATE>, underlining challenges facing country's manufacturers fight rising costs softening demand cooling economy.",null,[],Business Day,null,Reuters,[],None,2015-01-01T00:37:48Z,[],762,"<LOCATION>China</LOCATION>'s factory activity sputtered <DATE>December</DATE>, underlining challenges facing country's manufacturers fight rising costs softening demand cooling economy.",News,http://www.nytimes.com/reuters/2015/01/01/business/01reuters-china-economy-pmi.html,54a4ddba79881011bed2ac73,null,"{main:China <DATE>December<\/DATE> Factory PMIs Suggest Economy Cooling Further, More Stimulus Expected,print_headline:China <DATE>December<\/DATE> Factory PMIs Suggest Economy Cooling Further, More Stimulus Expected}","{original:By REUTERS,person:[],organization:REUTERS}",article
"<LOCATION>China</LOCATION>'s factory activity sputtered <DATE>December</DATE>, underlining challenges facing country's manufacturers fight rising costs softening demand cooling economy.",null,[],Business Day,null,Reuters,[],None,2014-12-31T20:12:56Z,[],718,"<LOCATION>China</LOCATION>'s factory activity sputtered <DATE>December</DATE>, underlining challenges facing country's manufacturers fight rising costs softening demand cooling economy.",News,http://www.nytimes.com/reuters/2014/12/31/business/31reuters-china-economy-pmi.html,54a49fd679881011bed29e56,null,"{main:China <DATE>December<\/DATE> Factory PMIs Suggest Economy Cooling Further, More Stimulus Expected,print_headline:China <DATE>December<\/DATE> Factory PMIs Suggest Economy Cooling Further, More Stimulus Expected}","{original:By REUTERS,person:[],organization:REUTERS}",article
"Hollywood's <DATE>2014</DATE> mere box-office blip, Act One drama coming digital disruption.",null,[],<LOCATION>U.S.</LOCATION>,null,AP,[],None,2014-12-31T12:43:27Z,[],878,"Hollywood's <DATE>2014</DATE> mere box-office blip, Act One drama coming digital disruption.",News,http://www.nytimes.com/aponline/2014/12/31/us/ap-us-box-office-year-wrap.html,54a4367d79881011bed28573,null,"{main:With Digital Forces Gate, Down Year Hollywood,print_headline:With Digital Forces Gate, Down Year Hollywood}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
The ruble's plunge offers West chance resolve <LOCATION>Ukraine</LOCATION> crisis re-engage <PERSON>Putin</PERSON>.,,"[{is_major:N,name:glocations,rank:1,value:<LOCATION>Russia<\/LOCATION>},{is_major:N,name:subject,rank:2,value:Ruble Currency},{is_major:N,name:glocations,rank:3,value:<LOCATION>Ukraine<\/LOCATION>},{is_major:N,name:glocations,rank:4,value:<LOCATION>Crimea Ukraine<\/LOCATION>},{is_major:N,name:subject,rank:5,value:Politics Government}]",Opinion,null,The New York Times,[],OpEd,2014-12-31T11:30:00Z,[],1039,The ruble's plunge offers West chance resolve <LOCATION>Ukraine</LOCATION> crisis re-engage <PERSON>Putin</PERSON>.,Op-Ed,http://www.nytimes.com/2014/12/31/opinion/rapprochement-with-russia.html,54a27e637988104803cc8a49,null,"{content_kicker:Op-Ed Contributors,main:Rapprochement With <LOCATION>Russia<\/LOCATION>???,print_headline:Rapprochement With <LOCATION>Russia<\/LOCATION>?,kicker:Op-Ed Contributors}","{contributor:,original:By <PERSON>HANS BINNENDIJK<\/PERSON>, <PERSON>CHRISTOPHER S. CHIVVIS OLGA OLIKER<\/PERSON>,person:[{firstname:Hans,role:reported,organization:,rank:1,lastname:BINNENDIJK},{firstname:Christopher,role:reported,organization:,middlename:S.,rank:2,lastname:CHIVVIS},{firstname:Olga,role:reported,organization:,rank:3,lastname:OLIKER}]}",article
Russian President <PERSON>Vladimir Putin</PERSON> New Year's speech hail country's annexation <LOCATION>Ukraine</LOCATION>'s <LOCATION>Crimea Peninsula</LOCATION> achievement forever remain landmark national history.,null,[],World,null,AP,[],None,2014-12-31T10:13:08Z,[],441,Russian President <PERSON>Vladimir Putin</PERSON> New Year's speech hail country's annexation <LOCATION>Ukraine</LOCATION>'s <LOCATION>Crimea Peninsula</LOCATION> achievement forever remain landmark national history.,News,http://www.nytimes.com/aponline/2014/12/31/world/europe/ap-eu-russia-putin.html,54a413387988102761d6e181,<LOCATION>Europe</LOCATION>,"{main:Putin Calls Annexation Crimea Historic Landmark,print_headline:Putin Calls Annexation Crimea Historic Landmark}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
"- The contraction <LOCATION>Russia</LOCATION>'s services sector eased slightly <DATE>December</DATE>, survey showed <DATE>Tuesday</DATE>, companies' business expectations fell weakest record, pointing prolonged economic downturn.",null,[],Business Day,null,Reuters,[],None,2014-12-30T01:10:55Z,[],265,"- The contraction <LOCATION>Russia</LOCATION>'s services sector eased slightly <DATE>December</DATE>, survey showed <DATE>Tuesday</DATE>, companies' business expectations fell weakest record, pointing prolonged economic downturn.",News,http://www.nytimes.com/reuters/2014/12/30/business/30reuters-pmi-services-russia.html,54a2426e7988104803cc89b3,null,"{main:<LOCATION>Russia<\/LOCATION> Services Contraction Eases <DATE>December<\/DATE> Long Downturn Looms-PMI,print_headline:<LOCATION>Russia<\/LOCATION> Services Contraction Eases <DATE>December<\/DATE> Long Downturn Looms-PMI}","{original:By REUTERS,person:[],organization:REUTERS}",article
"Growth <LOCATION>China</LOCATION>'s manufacturing sector slowed 18-month low <DATE>December</DATE>, <ORGANIZATION>Reuters</ORGANIZATION> poll showed, adding signs protracted slowdown world's second-largest economy prompt authorities roll stimulus measures.",null,[],Business Day,null,Reuters,[],None,2014-12-28T23:39:06Z,[],391,"Growth <LOCATION>China</LOCATION>'s manufacturing sector slowed 18-month low <DATE>December</DATE>, <ORGANIZATION>Reuters</ORGANIZATION> poll showed, adding signs protracted slowdown world's second-largest economy prompt authorities roll stimulus measures.",News,http://www.nytimes.com/reuters/2014/12/28/business/28reuters-china-economy-pmi.html,54a0db9b7988101f98e3eee8,null,"{main:China <DATE>December<\/DATE> Official PMI Seen Dipping 18-Month Low,print_headline:China <DATE>December<\/DATE> Official PMI Seen Dipping 18-Month Low}","{original:By REUTERS,person:[],organization:REUTERS}",article
"With oil prices dropping, <LOCATION>Alaska</LOCATION> Gov. <PERSON>Bill Walker</PERSON> halted spending high-profile projects, pending review.",null,[],<LOCATION>U.S.</LOCATION>,null,AP,[],None,2014-12-28T20:39:05Z,[],523,"With oil prices dropping, <LOCATION>Alaska</LOCATION> Gov. <PERSON>Bill Walker</PERSON> halted spending high-profile projects, pending review.",News,http://www.nytimes.com/aponline/2014/12/28/us/ap-us-walker-projects-spending.html,54a0b1777988101f98e3ee72,null,"{main:As Oil Prices Fall, <LOCATION>Alaska<\/LOCATION> Governor Halts Project Spending,print_headline:As Oil Prices Fall, <LOCATION>Alaska<\/LOCATION> Governor Halts Project Spending}","{original:By THE ASSOCIATED PRESS,person:[],organization:THE ASSOCIATED PRESS}",article
